Temperature,Simulations,Return,Discounted Return,Map
1,22,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,79,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFH', 'HFFG']"
1,45,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,64,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'HHFH', 'HFFG']"
1,37,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,75,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,30,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,85,0,1.0,0.8894287717672626,"['SHFH', 'FFHF', 'FFHF', 'HFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,66,0,1.0,0.8553586117313603,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,47,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FFFF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HFHG']"
1,88,0,1.0,0.8683052775100066,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,34,0,1.0,0.8631032605924442,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,86,0,1.0,0.8250687380258053,"['SFHF', 'FHHH', 'FFFH', 'HHFG']"
1,50,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,59,0,1.0,0.8502341582884777,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,72,0,1.0,0.9416796087056153,"['SFFF', 'FHHH', 'FHHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,53,0,1.0,0.7887102894272789,"['SFHF', 'HFFF', 'HHFH', 'HFFG']"
1,4,0,1.0,0.7653658663581259,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'FHFH', 'FFFG']"
1,45,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'HHFG']"
1,63,0,1.0,0.9445131481500655,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,37,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,94,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,87,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'HFHF', 'FFFG']"
1,29,0,1.0,0.8735386475474635,"['SFHH', 'FFFF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,36,0,1.0,0.9674905716180701,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,80,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,26,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HFHG']"
1,26,0,1.0,0.8250687380258053,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,89,0,1.0,0.9674905716180701,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,10,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'FFFF', 'FFFG']"
1,55,0,1.0,0.7722956964947572,"['SHHF', 'FFFF', 'HHFF', 'FFHG']"
1,47,0,1.0,0.8947894553945313,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,84,0,1.0,0.8867604854519608,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,83,0,1.0,0.9001824484431542,"['SHHH', 'FHFF', 'FFFH', 'HHFG']"
1,59,0,1.0,0.7910835400474212,"['SFHH', 'HFFF', 'HFHF', 'FFHG']"
1,76,0,1.0,0.8974819010978248,"['SHHH', 'FHHF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.9416796087056153,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,40,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'FHFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,61,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'HHFH', 'FFFG']"
1,72,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,53,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,22,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,3,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SFFH', 'HFHH', 'FFHF', 'HFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,73,0,1.0,0.9674905716180701,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,21,0,1.0,0.9674905716180701,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,87,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHFF', 'HHHG']"
1,100,0,1.0,0.9588092525966956,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,70,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,36,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,44,0,1.0,0.9165572373164391,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,31,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,96,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HFHG']"
1,76,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FHFF', 'FFHG']"
1,23,0,1.0,0.9138075656044898,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,70,0,1.0,0.9138075656044898,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,43,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HHFG']"
1,63,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,84,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,42,0,1.0,0.79346393184295,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,59,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,46,0,1.0,0.8103284404851119,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,3,0,1.0,0.9193151828650342,"['SFFF', 'HFHF', 'HHHF', 'FFFG']"
1,99,0,1.0,0.9762504936564125,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,8,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'FFFG']"
1,34,0,1.0,0.8631032605924442,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,67,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FFHF', 'FFFG']"
1,51,0,1.0,0.8103284404851119,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FFFF', 'HHHG']"
1,29,0,1.0,0.9056079456455165,"['SHHF', 'FFFF', 'FHHF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,55,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,39,0,1.0,0.9645880999032158,"['SHHF', 'FFFF', 'FFFH', 'HFFG']"
1,64,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'HFFH', 'FFFG']"
1,12,0,1.0,0.8300415167526705,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,69,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,73,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'HFHF', 'HFFG']"
1,20,0,1.0,0.7539540549517295,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,22,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'FHHF', 'FFFG']"
1,96,0,1.0,0.9791880578299021,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHFG']"
1,80,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFH', 'FFFG']"
1,29,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
1,45,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,23,0,1.0,0.9083329444789534,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,38,0,1.0,0.8127667407072335,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,34,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,81,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,41,0,1.0,0.8947894553945313,"['SFHF', 'FFFH', 'HHFF', 'HFFG']"
1,13,0,1.0,0.7539540549517295,"['SFFF', 'FFFF', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9559328248389055,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,30,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,23,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,68,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,85,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,38,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
