Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFFF', 'HFHG']"
1,69,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,48,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,94,0,1.0,0.8683052775100066,"['SFFH', 'FHFF', 'HFFH', 'FHFG']"
1,28,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,31,0,1.0,0.8078974551636565,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,54,0,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FFHG']"
1,80,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,74,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'HHFG']"
1,89,0,1.0,0.8657003616774767,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
1,58,0,1.0,0.9616943356035061,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,19,0,1.0,0.9165572373164391,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,35,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,31,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,30,0,1.0,0.9248559951318693,"['SHFH', 'FFFH', 'FFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,36,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'HFFG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,60,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,85,0,1.0,0.985089730404757,"['SHHF', 'FFHH', 'FFFH', 'FFFG']"
1,72,0,1.0,0.8894287717672626,"['SHHF', 'FHFF', 'FFFF', 'HHFG']"
1,93,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,94,0,1.0,0.8709180316048211,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,66,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'HFFH', 'HHFG']"
