Temperature,Simulations,Return,Discounted Return,Map
1,37,0,1.0,0.9473552137914398,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,85,0,1.0,0.9083329444789534,"['SFHH', 'FFHH', 'HFHF', 'FFFG']"
1,37,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,62,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,73,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,83,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,87,0,1.0,0.8426049842298329,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,56,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFFF', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,42,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,98,0,1.0,0.9276389118674717,"['SFFH', 'FFFF', 'FFFF', 'FHFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,69,0,1.0,0.8814479033836181,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,39,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,74,0,1.0,0.8631032605924442,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
