Temperature,Simulations,Return,Discounted Return,Map
1,43,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFHF', 'FHFG']"
1,84,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,42,0,1.0,0.8553586117313603,"['SHFF', 'FHHH', 'FFFH', 'FHFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFHG']"
1,42,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,54,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,81,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,83,0,0.0,0.0,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,46,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,39,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFFH', 'FFFG']"
1,93,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,20,0,0.0,0.0,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'FHFG']"
1,90,0,1.0,0.9416796087056153,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,21,0,1.0,0.8735386475474635,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,89,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFH', 'FFFG']"
1,54,0,1.0,0.9645880999032158,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,78,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,82,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,49,0,1.0,0.9110661429076764,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
