Temperature,Simulations,Return,Discounted Return,Map
1,29,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,38,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHH', 'FFFG']"
1,82,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,38,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,22,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,38,0,1.0,0.9001824484431542,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FHHF', 'HFFG']"
1,90,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,40,0,1.0,0.9445131481500655,"['SHHH', 'FFFH', 'FFFF', 'HFHG']"
1,33,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FHHG']"
1,13,0,1.0,0.8788035596734672,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HHFF', 'FFFG']"
1,44,0,1.0,0.9110661429076764,"['SFFH', 'FFFF', 'FFHF', 'HFHG']"
1,80,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HHFH', 'FFFG']"
1,65,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,43,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,41,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHHF', 'HHFG']"
1,82,0,1.0,0.9762504936564125,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,75,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,27,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'HFFF', 'HFFG']"
1,91,0,1.0,0.9530650263643888,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,11,0,1.0,0.8894287717672626,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,61,0,1.0,0.8974819010978248,"['SFHF', 'FFHF', 'HFFF', 'HFHG']"
1,91,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,82,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'HHFF', 'HFFG']"
1,88,0,1.0,0.8761671489944468,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,46,0,1.0,0.9056079456455165,"['SFFH', 'FFFF', 'FFHF', 'HFHG']"
1,22,0,1.0,0.8476834558136123,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,37,0,1.0,0.9220814271464737,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,29,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,55,0,1.0,0.837556937769312,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,79,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'FHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HHHF', 'HHHF', 'HFFG']"
1,76,0,1.0,0.9674905716180701,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,87,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,62,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,27,0,1.0,0.9674905716180701,"['SHHH', 'FFFH', 'FFFF', 'HHFG']"
1,43,0,1.0,0.8476834558136123,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,80,0,1.0,0.8250687380258053,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHH', 'FFFG']"
1,51,0,1.0,0.8054737627981655,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,15,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,26,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,53,0,1.0,0.9276389118674717,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
1,49,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,98,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HFHG']"
1,8,0,1.0,0.79346393184295,"['SFFH', 'FFFF', 'HHHF', 'HFFG']"
1,24,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,84,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FHHH', 'FFFG']"
1,74,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,30,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HHHG']"
1,58,0,1.0,0.8225935318117279,"['SFHH', 'HFFF', 'HHFH', 'FHFG']"
1,68,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFHF', 'HFHG']"
1,32,0,1.0,0.8426049842298329,"['SFHF', 'FHFH', 'FHFF', 'FFFG']"
1,95,0,1.0,0.835044266956004,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,95,0,1.0,0.8152123778407558,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,85,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,72,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,84,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,32,0,1.0,0.9616943356035061,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,96,0,1.0,0.9248559951318693,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,26,0,1.0,0.8527925358961662,"['SFFH', 'FFHF', 'HFFH', 'HFFG']"
1,97,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,8,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,13,0,1.0,0.776950406379376,"['SFFH', 'HHFH', 'FFFF', 'FHHG']"
1,53,0,1.0,0.884100203995605,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
