Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFF', 'FHFG']"
1,61,0,1.0,0.8176653739626438,"['SFHF', 'HFFF', 'FFHF', 'FHHG']"
1,81,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FHFH', 'FFFG']"
1,85,0,1.0,0.9445131481500655,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,74,0,1.0,0.9332298921513504,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,37,0,1.0,0.9193151828650342,"['SHHH', 'FHHF', 'FFFH', 'HFFG']"
1,82,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,34,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HHHF', 'HFHG']"
1,100,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'HHFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,45,0,1.0,0.9559328248389055,"['SHHF', 'FHFF', 'FFFF', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,90,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HFFG']"
1,91,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFHF', 'FFFG']"
1,59,0,1.0,0.8127667407072335,"['SFHH', 'FFFH', 'FHFF', 'HHHG']"
1,85,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,9,0,1.0,0.8947894553945313,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,6,0,1.0,0.8788035596734672,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,32,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FFHF', 'FFFG']"
1,64,0,1.0,0.9304302024748964,"['SFHF', 'HFFH', 'HFHF', 'FFFG']"
1,39,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HFFG']"
1,69,0,1.0,0.9304302024748964,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,39,0,1.0,0.8735386475474635,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,24,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,22,0,1.0,0.9138075656044898,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,67,0,1.0,0.7887102894272789,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,57,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
