Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,63,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
1,70,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,100,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FFFF', 'FHFG']"
1,58,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,45,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,56,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFFH', 'FHFG']"
1,42,0,1.0,0.9332298921513504,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,21,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'HFHF', 'FFFG']"
1,24,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'HHHG']"
1,80,0,1.0,0.8225935318117279,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'FFFF', 'FHFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,73,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,24,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFHG']"
1,30,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFHG']"
1,77,0,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,51,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,68,0,1.0,0.8152123778407558,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,83,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,31,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'HFFF', 'FFFG']"
1,88,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'FFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,38,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,76,0,1.0,0.9704017769489168,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,67,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HFHG']"
1,63,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,80,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFFG']"
1,64,0,1.0,0.8788035596734672,"['SFFH', 'FFHH', 'HFHF', 'FFFG']"
1,95,0,1.0,0.8974819010978248,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,27,0,1.0,0.7516921927868743,"['SFFF', 'FFHH', 'FFHF', 'HFFG']"
1,62,0,1.0,0.9704017769489168,"['SHFF', 'FHHH', 'FFHH', 'FFFG']"
1,36,0,1.0,0.8103284404851119,"['SFHF', 'HFFF', 'HFHF', 'FHHG']"
1,17,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
