Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SFFH', 'FFHF', 'FHHH', 'FFFG']"
1,38,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFFF', 'HHHG']"
1,67,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FFHG']"
1,49,0,1.0,0.9704017769489168,"['SHFH', 'FFHF', 'FFFH', 'HFFG']"
1,65,0,1.0,0.90289112180858,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHH', 'HFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,37,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,20,0,1.0,0.9616943356035061,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,69,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,75,0,1.0,0.9304302024748964,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFH', 'HHFG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,19,0,1.0,0.8502341582884777,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,42,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,99,0,1.0,0.9559328248389055,"['SHFH', 'FFHF', 'FFFF', 'FHFG']"
1,22,0,1.0,0.8300415167526705,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,44,0,1.0,0.8894287717672626,"['SFHF', 'FFFF', 'FHHF', 'HFHG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHHG']"
1,73,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,67,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
