Temperature,Simulations,Return,Discounted Return,Map
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,76,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FFFH', 'HFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,9,0,1.0,0.8300415167526705,"['SFFF', 'FFHF', 'HHFF', 'HHHG']"
1,38,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,99,0,1.0,0.9530650263643888,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,90,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,5,0,1.0,0.8400771692771434,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,99,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,38,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'FHFG']"
1,15,0,1.0,0.8451404054461714,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,28,0,1.0,0.8631032605924442,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,91,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,9,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,68,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFHH', 'FFFG']"
1,21,0,1.0,0.93603800616986,"['SFFF', 'HFHH', 'FFHF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,21,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'HFHF', 'FHFG']"
1,93,0,1.0,0.8894287717672626,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,19,0,1.0,0.9248559951318693,"['SFFH', 'FFHF', 'HFFH', 'HFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,10,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFFF', 'FFFG']"
1,16,0,1.0,0.7958514863018556,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,4,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FHFF', 'FHFG']"
1,24,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HFHF', 'FFHG']"
1,56,0,1.0,0.9733217421754432,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,30,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'HHFG']"
1,95,0,1.0,0.8527925358961662,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,92,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,59,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFF', 'FHHG']"
1,94,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'HFHF', 'FFHG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,43,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,2,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,73,0,1.0,0.8553586117313603,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,42,0,1.0,0.9416796087056153,"['SFHF', 'FFFH', 'FHFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,23,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,98,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFF', 'HFHG']"
1,81,0,1.0,0.93603800616986,"['SFFH', 'HFFF', 'FFFH', 'HHFG']"
