Temperature,Simulations,Return,Discounted Return,Map
1,3,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,18,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,34,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFHF', 'HFFG']"
1,95,0,1.0,0.9416796087056153,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,13,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'HFFF', 'FHFG']"
1,24,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HFHG']"
1,77,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,52,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,61,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,32,0,1.0,0.9332298921513504,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,46,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,20,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,79,0,1.0,0.7958514863018556,"['SHHH', 'FFHF', 'HFHH', 'HFFG']"
1,11,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,30,0,1.0,0.8947894553945313,"['SFFH', 'FHFF', 'HFHF', 'HFFG']"
1,27,0,1.0,0.8201257512162927,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,18,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,95,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FFHF', 'FHFG']"
1,56,0,1.0,0.8709180316048211,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,71,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,20,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,29,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,43,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,29,0,1.0,0.8176653739626438,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
