Temperature,Simulations,Return,Discounted Return,Map
1,83,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'FFHH', 'HFFG']"
1,35,0,1.0,0.8735386475474635,"['SFHF', 'HFFF', 'FHHF', 'HHFG']"
1,43,0,1.0,0.8176653739626438,"['SFHF', 'HFHF', 'FFHF', 'FFFG']"
1,79,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,53,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,88,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'HFFH', 'FFFG']"
1,74,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,64,0,1.0,0.9304302024748964,"['SHFH', 'FFHH', 'FHFF', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,52,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,53,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHHG']"
1,100,0,1.0,0.985089730404757,"['SHFF', 'FHFH', 'FHHF', 'FFFG']"
1,56,0,1.0,0.8735386475474635,"['SFFH', 'FFHH', 'FFFF', 'HFHG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
1,61,0,1.0,0.8974819010978248,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,51,0,1.0,0.9791880578299021,"['SFFH', 'FHHF', 'FHFF', 'FFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,88,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,58,0,1.0,0.8176653739626438,"['SHFF', 'FHFF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9332298921513504,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,30,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,6,0,1.0,0.7746195551602378,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,42,0,1.0,0.837556937769312,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.7584982177744161,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FHFF', 'FFFG']"
1,31,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,57,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,65,0,1.0,0.8476834558136123,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,28,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,81,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,36,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,22,0,0.0,0.0,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,34,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFFF', 'FFFG']"
1,9,0,1.0,0.8250687380258053,"['SFFF', 'HHFF', 'HHFF', 'FHHG']"
1,8,0,1.0,0.9332298921513504,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,24,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,54,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,49,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,35,0,1.0,0.8761671489944468,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,45,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,61,0,1.0,0.9791880578299021,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,52,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,26,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FHHG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,61,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,70,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FFHG']"
1,51,0,1.0,0.9304302024748964,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,89,0,1.0,0.9220814271464737,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,29,0,1.0,0.8300415167526705,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,84,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFFF', 'HFHG']"
1,43,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,31,0,1.0,0.8814479033836181,"['SFFH', 'HFFH', 'FFHH', 'FFFG']"
1,36,0,1.0,0.803057341509771,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,91,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,52,0,1.0,0.8814479033836181,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'FHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,46,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,90,0,1.0,0.8867604854519608,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,79,0,1.0,0.9416796087056153,"['SFFH', 'HFHF', 'FFHH', 'HFFG']"
1,33,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHHG']"
1,75,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,83,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,84,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,47,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,12,0,1.0,0.8735386475474635,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,94,0,1.0,0.9248559951318693,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,64,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FFFF', 'FHHG']"
1,28,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,97,0,1.0,0.9248559951318693,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,83,0,1.0,0.8078974551636565,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,68,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'HFHH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'FHFG']"
1,63,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,44,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'HFFF', 'HHFG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9220814271464737,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
