Temperature,Simulations,Return,Discounted Return,Map
1,72,0,1.0,0.9416796087056153,"['SFFH', 'HHFF', 'HHHF', 'FHFG']"
1,97,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,19,0,1.0,0.9276389118674717,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,33,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFFF', 'FHFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,48,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'HFFH', 'FFFG']"
1,9,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,61,0,1.0,0.9388545698794984,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,71,0,1.0,0.9165572373164391,"['SFFF', 'HHFH', 'FHFF', 'HFHG']"
1,7,0,1.0,0.8176653739626438,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,26,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,3,0,1.0,0.90289112180858,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HHFH', 'FHFG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,63,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,64,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,79,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFHF', 'HFFG']"
1,15,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,37,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,11,0,1.0,0.8553586117313603,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,81,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,41,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,96,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,41,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,37,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHF', 'FFFG']"
1,49,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,21,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
1,54,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,14,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,28,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHHG']"
1,33,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,30,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFHF', 'HHHG']"
1,50,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,100,0,1.0,0.9645880999032158,"['SFHH', 'HFHF', 'FFFH', 'HFFG']"
1,49,0,1.0,0.9138075656044898,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,43,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,98,0,1.0,0.9001824484431542,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,46,0,1.0,0.7816331707050701,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
1,81,0,1.0,0.9559328248389055,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,59,0,1.0,0.7816331707050701,"['SFFF', 'HFHF', 'FFHH', 'HFFG']"
1,46,0,1.0,0.9304302024748964,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,48,0,1.0,0.8201257512162927,"['SFFF', 'FHFF', 'HFFH', 'FHFG']"
1,55,0,1.0,0.9645880999032158,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HFHF', 'FFHG']"
1,73,0,1.0,0.9220814271464737,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,57,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FHFF', 'HFHG']"
1,82,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,28,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'FFFG']"
1,85,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,13,0,1.0,0.93603800616986,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,87,0,1.0,0.9056079456455165,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,86,0,1.0,0.8974819010978248,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,72,0,1.0,0.90289112180858,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,59,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,79,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,61,0,1.0,0.9276389118674717,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
