Temperature,Simulations,Return,Discounted Return,Map
1,46,0,1.0,0.9733217421754432,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,56,0,1.0,0.8152123778407558,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,95,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHHF', 'FFHG']"
1,7,0,1.0,0.7516921927868743,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,83,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,27,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HFFF', 'HFHG']"
1,48,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,63,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,81,0,1.0,0.8974819010978248,"['SFFF', 'HHFF', 'HFFH', 'FFFG']"
1,59,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'HHHF', 'FHFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,19,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
1,33,0,1.0,0.9588092525966956,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,43,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'HFHF', 'HFHG']"
1,13,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HFHG']"
1,38,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,26,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,97,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,96,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,48,0,1.0,0.860513950810667,"['SHFH', 'FHFF', 'FFFF', 'HFHG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,49,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHHF', 'FFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,22,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFH', 'HHFG']"
1,29,0,0.0,0.0,"['SFHH', 'FFHF', 'FFHH', 'HFFG']"
1,41,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,43,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,49,0,1.0,0.90289112180858,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SFHH', 'HFHF', 'FFHF', 'HFFG']"
1,73,0,1.0,0.7887102894272789,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,26,0,1.0,0.747188804859888,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FHHF', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFHF', 'FHHG']"
1,56,0,1.0,0.985089730404757,"['SFHH', 'HFHF', 'HFFF', 'FFFG']"
1,77,0,1.0,0.8657003616774767,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,61,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,62,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,32,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,66,0,1.0,0.9276389118674717,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,98,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,100,0,1.0,0.9165572373164391,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,47,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,70,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,99,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,74,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,40,0,1.0,0.9056079456455165,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,100,0,1.0,0.90289112180858,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,49,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,29,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,84,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFHF', 'FFFG']"
1,27,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,45,0,1.0,0.9110661429076764,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,75,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,74,0,1.0,0.90289112180858,"['SHHH', 'FFHF', 'HFFH', 'FFFG']"
1,69,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FHFF', 'FHFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'FFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,70,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,45,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,75,0,1.0,0.8426049842298329,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,29,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,85,0,1.0,0.8275513922024125,"['SFHH', 'FHFF', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9056079456455165,"['SFHF', 'HFHH', 'FFHH', 'HFFG']"
1,19,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'FFFF', 'HHFG']"
1,63,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,63,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,46,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFHG']"
1,28,0,1.0,0.8761671489944468,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,53,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,78,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'FHFG']"
1,13,0,1.0,0.860513950810667,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'FFFG']"
1,38,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'HFFG']"
1,52,0,1.0,0.9165572373164391,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,41,0,1.0,0.8788035596734672,"['SFFH', 'HFFF', 'HHHF', 'FHFG']"
1,81,0,0.0,0.0,"['SHFF', 'FFFH', 'FFHF', 'FFFG']"
1,91,0,1.0,0.9645880999032158,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,53,0,1.0,0.884100203995605,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'HFFH', 'FHFG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,92,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'HHFF', 'HHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HFHG']"
1,21,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,31,0,1.0,0.7494371162085136,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,67,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,39,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFH', 'FFHH', 'FFFG']"
1,59,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'HHFF', 'HFFG']"
1,37,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,12,0,1.0,0.8814479033836181,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,65,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFHF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'FFFG']"
1,43,0,1.0,0.7792882711929549,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,18,0,1.0,0.837556937769312,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,64,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FHFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,53,0,1.0,0.8300415167526705,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,36,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,75,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'FFFG']"
1,35,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHFF', 'HFHG']"
1,100,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,24,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHHF', 'FHFG']"
1,23,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,63,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,94,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,73,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'FFFG']"
1,49,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,41,0,1.0,0.837556937769312,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,79,0,1.0,0.8250687380258053,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
