Temperature,Simulations,Return,Discounted Return,Map
1,12,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'HFFF', 'HHFG']"
1,39,0,1.0,0.9332298921513504,"['SFHF', 'HFFH', 'FHFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,77,0,1.0,0.9616943356035061,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,69,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'FFFF', 'FFHG']"
1,28,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFHG']"
1,52,0,1.0,0.9248559951318693,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,24,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'FHHG']"
1,63,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,3,0,1.0,0.860513950810667,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,61,0,1.0,0.9138075656044898,"['SFFF', 'FFHH', 'HFFH', 'FFFG']"
1,81,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHHF', 'FHHG']"
1,22,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,58,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HFHG']"
1,36,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FHHG']"
1,87,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFFF', 'HHFG']"
1,60,0,1.0,0.9220814271464737,"['SFFH', 'HHFF', 'FHFH', 'HHFG']"
1,95,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'HHFF', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,71,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9704017769489168,"['SHFH', 'FFFF', 'FHHH', 'FFFG']"
1,39,0,1.0,0.884100203995605,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,26,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,18,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFHF', 'FHFG']"
1,60,0,1.0,0.8867604854519608,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,42,0,1.0,0.8127667407072335,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,46,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,77,0,1.0,0.884100203995605,"['SFFH', 'FFHH', 'FHHF', 'FFFG']"
1,52,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,48,0,1.0,0.7539540549517295,"['SFHF', 'FFHF', 'FFFF', 'FHHG']"
1,12,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'FFFF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHHF', 'FFFG']"
1,42,0,1.0,0.9193151828650342,"['SHFF', 'FFHF', 'FFFF', 'HHFG']"
1,27,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,9,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,42,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'HHFG']"
1,79,0,1.0,0.93603800616986,"['SFHH', 'FFFH', 'HFFH', 'HHFG']"
1,64,0,1.0,0.9332298921513504,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,77,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HHHF', 'FFHG']"
1,91,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,14,0,1.0,0.8657003616774767,"['SFHH', 'FFHF', 'FFHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,33,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,78,0,1.0,0.9445131481500655,"['SFHF', 'FHHH', 'FFFF', 'HFFG']"
1,5,0,1.0,0.7910835400474212,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,28,0,1.0,0.8426049842298329,"['SFHF', 'FFHH', 'HFHF', 'HFFG']"
1,53,0,1.0,0.8054737627981655,"['SHHF', 'FFFF', 'HFHF', 'FFHG']"
1,96,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
