Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,23,0,0.0,0.0,"['SHFF', 'FHFF', 'FHFF', 'FFFG']"
1,33,0,1.0,0.9110661429076764,"['SFFH', 'FHHH', 'FHFF', 'FFFG']"
1,52,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,50,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,7,0,1.0,0.837556937769312,"['SFFH', 'FHFF', 'FHFF', 'FHFG']"
1,87,0,1.0,0.9056079456455165,"['SFFH', 'FHFF', 'FFHF', 'FFFG']"
1,33,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'FHFG']"
1,64,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,25,0,1.0,0.9733217421754432,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9110661429076764,"['SFHF', 'FFFF', 'FFHF', 'HFHG']"
1,38,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,25,0,0.0,0.0,"['SHFF', 'FHHH', 'FHHF', 'FFFG']"
1,34,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFFH', 'HHFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFFH', 'FHFG']"
1,76,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFHH', 'FFFG']"
1,75,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HFFF', 'FFFG']"
1,19,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFHG']"
1,25,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,36,0,1.0,0.9821344612135428,"['SHFH', 'FHFH', 'FHHF', 'FFFG']"
1,86,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'FFHG']"
1,58,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,61,0,1.0,0.9821344612135428,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,83,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,66,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HHHG']"
1,77,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHHF', 'FFHG']"
1,61,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHHF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,41,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,39,0,1.0,0.9248559951318693,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,99,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,65,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHHG']"
1,36,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,19,0,1.0,0.9616943356035061,"['SFHF', 'FFHF', 'FFHF', 'FFFG']"
1,20,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,36,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HHFF', 'HHFG']"
1,76,0,1.0,0.9248559951318693,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,90,0,1.0,0.9762504936564125,"['SFHF', 'FHHF', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,75,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'FHFG']"
1,90,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,26,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FFFF', 'FHFG']"
1,90,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,56,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,41,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,12,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,16,0,1.0,0.9674905716180701,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,37,0,1.0,0.9110661429076764,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,43,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFHF', 'HFHG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,78,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,80,0,1.0,0.884100203995605,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,53,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
1,85,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,42,0,1.0,0.9138075656044898,"['SFFF', 'FFFH', 'HHFH', 'HFFG']"
1,89,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFH', 'HHFG']"
1,31,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'HHHG']"
1,66,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'HHFF', 'HFFG']"
1,65,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'HHFF', 'FHHG']"
1,13,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,54,0,0.0,0.0,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,40,0,1.0,0.857932408958235,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,67,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,73,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,50,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,55,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HFFF', 'HHHG']"
1,44,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,22,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFH', 'HFFG']"
1,6,0,1.0,0.8735386475474635,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FFHF', 'FFFG']"
1,75,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,9,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,67,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,31,0,0.0,0.0,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,94,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FHHH', 'FFFG']"
1,17,0,1.0,0.8225935318117279,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,88,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,11,0,1.0,0.9165572373164391,"['SHFF', 'FFHF', 'FFFH', 'FFFG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,12,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FFFF', 'FHFG']"
1,32,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HFFG']"
1,76,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HFFF', 'HHHG']"
1,38,0,1.0,0.9332298921513504,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,18,0,1.0,0.8867604854519608,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,42,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9193151828650342,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,55,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'HHHG']"
1,43,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FHHF', 'FFFG']"
1,84,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FHHH', 'FFFG']"
1,79,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'HFFH', 'HFFG']"
1,45,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HHHF', 'FFHG']"
1,51,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,63,0,1.0,0.9304302024748964,"['SHFH', 'FFFF', 'HFFF', 'HHHG']"
1,75,0,1.0,0.8683052775100066,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,43,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,48,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,32,0,1.0,0.8553586117313603,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,85,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,69,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'FHFF', 'FHFG']"
1,26,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HHFF', 'HHHG']"
1,15,0,1.0,0.8502341582884777,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,71,0,1.0,0.8814479033836181,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,7,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'HFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,100,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,82,0,1.0,0.9762504936564125,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
