Temperature,Simulations,Return,Discounted Return,Map
1,19,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,80,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,60,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,70,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HFFG']"
1,87,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,95,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,15,0,1.0,0.8631032605924442,"['SFHH', 'FFFH', 'FHFF', 'HHFG']"
1,37,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HHHG']"
1,75,0,1.0,0.9674905716180701,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,28,0,1.0,0.90289112180858,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,10,0,1.0,0.9530650263643888,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,54,0,1.0,0.9276389118674717,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHFH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'FHFG']"
1,87,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,68,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HHHF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,60,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,80,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'FHHG']"
1,45,0,1.0,0.8735386475474635,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,32,0,1.0,0.8176653739626438,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'FHFG']"
1,75,0,1.0,0.8657003616774767,"['SFHH', 'FFHF', 'FFFH', 'HHFG']"
1,37,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,81,0,1.0,0.79346393184295,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,75,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,32,0,1.0,0.8761671489944468,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,56,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,70,0,1.0,0.8761671489944468,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,17,0,1.0,0.7863441585589971,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,85,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFF', 'HFFG']"
1,41,0,1.0,0.8788035596734672,"['SFHF', 'HFFF', 'HHHF', 'HHHG']"
1,33,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,54,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,11,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FHHG']"
1,27,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFFF', 'HFFG']"
1,48,0,1.0,0.9220814271464737,"['SFHH', 'FFFF', 'HHFF', 'HFHG']"
1,34,0,1.0,0.93603800616986,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SFHF', 'HFHH', 'HFFF', 'FFFG']"
1,52,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HHFH', 'HHFG']"
1,80,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,26,0,1.0,0.9220814271464737,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,66,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFF', 'HFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'FHHG']"
1,44,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,66,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,94,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHHG']"
1,74,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,86,0,1.0,0.9445131481500655,"['SFHF', 'HFHH', 'FFFF', 'FHHG']"
1,62,0,1.0,0.9502058312852957,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,84,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,54,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,27,0,1.0,0.8683052775100066,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,37,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,57,0,1.0,0.8921050870283477,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,95,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'HHFF', 'FHHG']"
1,83,0,1.0,0.9056079456455165,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.8103284404851119,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,22,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHHF', 'HFFG']"
1,46,0,1.0,0.7630697687590515,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,31,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HHFF', 'HFHG']"
1,72,0,1.0,0.8867604854519608,"['SFFH', 'HFHF', 'HFHF', 'HFFG']"
1,67,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,59,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'HHFF', 'FFFG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'FHHG']"
1,33,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,76,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,60,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,67,0,1.0,0.8476834558136123,"['SHHH', 'FHHF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.7607805594527743,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,49,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,88,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HFHF', 'HFFG']"
1,30,0,1.0,0.7722956964947572,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,44,0,1.0,0.9332298921513504,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,85,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,85,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHHG']"
1,52,0,1.0,0.8814479033836181,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,80,0,1.0,0.9733217421754432,"['SFHH', 'HFHH', 'HFFF', 'FFFG']"
1,54,0,1.0,0.9704017769489168,"['SHFF', 'FFHH', 'FHHH', 'FFFG']"
1,66,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,91,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFFF', 'HHHG']"
1,41,0,1.0,0.9248559951318693,"['SFHH', 'FHFH', 'FHHF', 'FFFG']"
1,19,0,1.0,0.9473552137914398,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'FFFH', 'FFFG']"
1,57,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,22,0,1.0,0.8894287717672626,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'FFHG']"
1,36,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFHF', 'HHHG']"
1,38,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,51,0,1.0,0.7516921927868743,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FHHG']"
1,73,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,66,0,1.0,0.9001824484431542,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,60,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,8,0,1.0,0.8788035596734672,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,64,0,1.0,0.8735386475474635,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,63,0,1.0,0.9616943356035061,"['SFHF', 'HFHF', 'FFFH', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HHHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,37,0,1.0,0.835044266956004,"['SHHH', 'FFFF', 'HFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,45,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HHFF', 'FFHG']"
1,61,0,1.0,0.9220814271464737,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,8,0,1.0,0.8894287717672626,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,36,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFH', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,19,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHF', 'HFFG']"
1,96,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,45,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,76,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FFFF', 'HFFG']"
1,32,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HFHG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFH', 'FHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,100,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,58,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFFH', 'FFFG']"
1,33,0,0.0,0.0,"['SFFH', 'FFFH', 'FFHH', 'HFFG']"
1,69,0,1.0,0.9110661429076764,"['SHFF', 'FFHF', 'HFFH', 'FFFG']"
1,26,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,75,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,39,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'HFFF', 'HFFG']"
1,7,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,68,0,1.0,0.9083329444789534,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,74,0,1.0,0.767668872977057,"['SFHH', 'FFFH', 'FHFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FHFG']"
1,14,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,4,0,1.0,0.8325391341551359,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,84,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHHF', 'FFHG']"
1,11,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFF', 'HHHG']"
1,33,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'HFFH', 'HHFG']"
1,33,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9445131481500655,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,20,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'HFHF', 'FFFG']"
1,26,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,21,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,27,0,1.0,0.9530650263643888,"['SHFF', 'FFHF', 'FFFH', 'FFFG']"
1,31,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,43,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHF', 'HFFG']"
1,65,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,60,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,88,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,24,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,83,0,1.0,0.9473552137914398,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.90289112180858,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'FFFG']"
1,80,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,82,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,95,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFHG']"
1,65,0,1.0,0.9416796087056153,"['SFFF', 'HFFH', 'HHFF', 'HHHG']"
1,38,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,33,0,1.0,0.8894287717672626,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,69,0,1.0,0.9704017769489168,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
