Temperature,Simulations,Return,Discounted Return,Map
1,11,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HFHG']"
1,37,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'FFHF', 'FFHG']"
1,81,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'HHFF', 'HFHG']"
1,63,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,16,0,1.0,0.78398512608332,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,31,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,50,0,1.0,0.8735386475474635,"['SFHH', 'FHHF', 'FFFF', 'HFFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFF', 'FHHG']"
1,34,0,1.0,0.8476834558136123,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'HHFF', 'HHFG']"
1,42,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9588092525966956,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,14,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
1,91,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,45,0,1.0,0.8127667407072335,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,87,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFHF', 'HFFG']"
1,6,0,1.0,0.835044266956004,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,16,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHF', 'FFFG']"
1,18,0,1.0,0.8761671489944468,"['SFFH', 'FHFH', 'HHFF', 'FHFG']"
1,26,0,1.0,0.8502341582884777,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9332298921513504,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,63,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHHF', 'HHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,13,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,67,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,44,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,17,0,1.0,0.8974819010978248,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,49,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,83,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'HFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHHF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,34,0,1.0,0.9445131481500655,"['SFFH', 'FFHF', 'FFHH', 'FFFG']"
1,35,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
