Temperature,Simulations,Return,Discounted Return,Map
1,21,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'HHFF', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9588092525966956,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,66,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,28,0,1.0,0.8709180316048211,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,63,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,54,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFF', 'HFFG']"
1,15,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
1,19,0,1.0,0.776950406379376,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,65,0,1.0,0.8006481694852418,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,25,0,1.0,0.9473552137914398,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,80,0,1.0,0.8527925358961662,"['SFHH', 'HFFH', 'HFHH', 'FFFG']"
1,61,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHFF', 'HHHG']"
1,44,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHH', 'HFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FFFG']"
1,78,0,1.0,0.9248559951318693,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,47,0,1.0,0.9473552137914398,"['SFHF', 'HFHH', 'FFFH', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,68,0,1.0,0.9220814271464737,"['SHHF', 'FHFH', 'FHHF', 'FFFG']"
1,62,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HFFG']"
1,51,0,1.0,0.9588092525966956,"['SHFF', 'FFFH', 'FHHH', 'FFFG']"
1,24,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFFF', 'HFFG']"
1,95,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,99,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHFG']"
1,42,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HHHF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHH', 'FHHF', 'FFFG']"
1,60,0,1.0,0.9762504936564125,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,51,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HHFF', 'FHHG']"
1,84,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,9,0,1.0,0.8894287717672626,"['SFFF', 'HHFF', 'FHHF', 'HFHG']"
1,7,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,71,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,8,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'FHFG']"
1,42,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,28,0,1.0,0.9304302024748964,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,62,0,1.0,0.8275513922024125,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,24,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,87,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,69,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,97,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHFG']"
1,10,0,1.0,0.8709180316048211,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,69,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,41,0,1.0,0.9588092525966956,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,79,0,1.0,0.9304302024748964,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,38,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,76,0,1.0,0.803057341509771,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FFFG']"
1,62,0,1.0,0.8921050870283477,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,53,0,1.0,0.9001824484431542,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,60,0,1.0,0.9056079456455165,"['SFFH', 'HFHF', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9473552137914398,"['SFHF', 'FFHH', 'HFFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFH', 'HHFG']"
1,33,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHFF', 'FFFG']"
1,35,0,1.0,0.9473552137914398,"['SHHH', 'FFHF', 'HFFF', 'HFFG']"
1,18,0,1.0,0.9110661429076764,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,30,0,1.0,0.8451404054461714,"['SFFF', 'HFHF', 'FFHF', 'HFHG']"
1,16,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,80,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,85,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9248559951318693,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,46,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,33,0,1.0,0.8683052775100066,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,14,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'FFFF', 'FHFG']"
1,97,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,50,0,1.0,0.8657003616774767,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,100,0,1.0,0.9083329444789534,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,69,0,1.0,0.9304302024748964,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,60,0,1.0,0.8974819010978248,"['SFHF', 'HFFF', 'HHFH', 'HHFG']"
1,17,0,1.0,0.9110661429076764,"['SFFF', 'HHHF', 'HFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HFHG']"
1,48,0,1.0,0.9001824484431542,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,78,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,97,0,1.0,0.8947894553945313,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9645880999032158,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,45,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHFF', 'FHFG']"
1,38,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFH', 'HFFG']"
1,72,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,77,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,71,0,1.0,0.9056079456455165,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,56,0,1.0,0.8894287717672626,"['SFFH', 'FFHH', 'FFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,52,0,1.0,0.9110661429076764,"['SFHH', 'HFFH', 'FFHH', 'HFFG']"
1,27,0,1.0,0.9248559951318693,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,96,0,1.0,0.9083329444789534,"['SFFF', 'HHFH', 'FFFH', 'FHFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,94,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'FHFF', 'HFFG']"
1,36,0,1.0,0.8275513922024125,"['SFHF', 'HFFH', 'FHFF', 'FHFG']"
1,37,0,1.0,0.9193151828650342,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,26,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'FFHG']"
1,90,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,24,0,1.0,0.90289112180858,"['SFFH', 'FHFF', 'FFHF', 'HHHG']"
1,84,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHF', 'FHHF', 'FFFG']"
1,63,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFFF', 'FHFG']"
1,47,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'FHFH', 'FFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHFG']"
1,61,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,73,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,56,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,50,0,1.0,0.9248559951318693,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,84,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,12,0,1.0,0.8761671489944468,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,51,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,74,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,10,0,1.0,0.9733217421754432,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFHF', 'FHFG']"
1,23,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9704017769489168,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,97,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,82,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'HFFF', 'FFFH', 'FHFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,26,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,6,0,1.0,0.9193151828650342,"['SFFF', 'HHFF', 'FHHF', 'FFHG']"
1,81,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,53,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'HFFH', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'HFFG']"
1,34,0,1.0,0.8709180316048211,"['SFFF', 'FFHH', 'HFFH', 'FHFG']"
1,48,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,47,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,49,0,1.0,0.9193151828650342,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,79,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,82,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,39,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,12,0,1.0,0.7887102894272789,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,87,0,1.0,0.9388545698794984,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,97,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'HHFF', 'FFHG']"
1,49,0,1.0,0.9704017769489168,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'FFFG']"
1,19,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,98,0,1.0,0.8921050870283477,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,17,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,64,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,38,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHFF', 'FFHG']"
1,61,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,80,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,80,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'FFFG']"
1,25,0,1.0,0.860513950810667,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,57,0,1.0,0.9445131481500655,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,43,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,29,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,67,0,1.0,0.9083329444789534,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,79,0,1.0,0.8788035596734672,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,21,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,88,0,1.0,0.7699788094052729,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
