Temperature,Simulations,Return,Discounted Return,Map
1,38,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,69,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFFH', 'HHFG']"
1,7,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,80,0,1.0,0.9559328248389055,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFH', 'HHFG']"
1,60,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FFFF', 'FFFG']"
1,98,0,1.0,0.9248559951318693,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,45,0,1.0,0.9588092525966956,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,66,0,1.0,0.8683052775100066,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,79,0,1.0,0.8814479033836181,"['SFFF', 'HFHF', 'FFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,28,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,73,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,73,0,1.0,0.9416796087056153,"['SFFH', 'FHHH', 'FHHH', 'FFFG']"
1,44,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FHFH', 'FFFG']"
1,37,0,1.0,0.7887102894272789,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,70,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,24,0,1.0,0.8225935318117279,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,94,0,1.0,0.884100203995605,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,27,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHH', 'HFFG']"
1,46,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,27,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,18,0,1.0,0.7887102894272789,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,29,0,1.0,0.9165572373164391,"['SFFH', 'HFFF', 'FHHF', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFFF', 'FFFG']"
1,44,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFFF', 'FFFG']"
