Temperature,Simulations,Return,Discounted Return,Map
1,25,0,1.0,0.9110661429076764,"['SFHF', 'FHHH', 'FHFH', 'FFFG']"
1,40,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'HHFG']"
1,90,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,37,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'FFHF', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,61,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,62,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,82,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,2,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,46,0,1.0,0.8894287717672626,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,91,0,1.0,0.8761671489944468,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,50,0,1.0,0.860513950810667,"['SFHH', 'FFHF', 'FHFF', 'FFFG']"
1,9,0,1.0,0.8152123778407558,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
1,64,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,52,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,59,0,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HFFH', 'HHFG']"
1,48,0,1.0,0.9083329444789534,"['SFFF', 'FFHH', 'FHHH', 'FFFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,93,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,58,0,1.0,0.8553586117313603,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,89,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HHFG']"
1,43,0,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,56,0,1.0,0.8201257512162927,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,78,0,1.0,0.9388545698794984,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,75,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFHF', 'FFFG']"
1,27,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,44,0,1.0,0.9416796087056153,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,20,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,18,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,51,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'FHHG']"
1,100,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFFF', 'FFHG']"
1,36,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,61,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,76,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FFFF', 'HFFG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,49,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'HHFG']"
1,67,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFFG']"
1,75,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'HHFG']"
1,6,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9388545698794984,"['SHFH', 'FFFF', 'HHFF', 'HFHG']"
1,36,0,1.0,0.8054737627981655,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,32,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,54,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,34,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,70,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,46,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,32,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,53,0,1.0,0.9445131481500655,"['SHFF', 'FFHH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.884100203995605,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,54,0,1.0,0.9445131481500655,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,38,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,94,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'FFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HFFH', 'HFFG']"
1,58,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHF', 'FFFG']"
1,33,0,1.0,0.9193151828650342,"['SFFF', 'HFFH', 'HHFF', 'FFHG']"
1,33,0,1.0,0.9276389118674717,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,23,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,41,0,1.0,0.9530650263643888,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,83,0,1.0,0.8527925358961662,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,49,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFF', 'FHFG']"
1,49,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'FFFF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'FHHG']"
1,89,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'FFFG']"
1,35,0,1.0,0.9220814271464737,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,76,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,78,0,1.0,0.9762504936564125,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFHF', 'FFHG']"
1,95,0,1.0,0.985089730404757,"['SHHF', 'FHHF', 'FFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFH', 'HFFH', 'FHFG']"
1,44,0,1.0,0.8894287717672626,"['SHHF', 'FFHF', 'FFFF', 'FHHG']"
1,54,0,1.0,0.9473552137914398,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,30,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,41,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,99,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,22,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9138075656044898,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,72,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
