Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,34,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HFFF', 'HFHG']"
1,3,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHF', 'HFHH', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,30,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,80,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,6,0,1.0,0.8300415167526705,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,72,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,17,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,89,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,43,0,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHFG']"
1,92,0,1.0,0.9821344612135428,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,92,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,42,0,1.0,0.9193151828650342,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,39,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,22,0,1.0,0.7584982177744161,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,78,0,1.0,0.9473552137914398,"['SFFH', 'FFFH', 'HFFH', 'HHFG']"
1,82,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFH', 'HFFH', 'FHFG']"
1,93,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFHF', 'HFFG']"
1,68,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'HHFG']"
1,27,0,1.0,0.7653658663581259,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
1,29,0,1.0,0.8788035596734672,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,20,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,33,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'HFFG']"
1,93,0,1.0,0.7653658663581259,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,88,0,1.0,0.9502058312852957,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,66,0,1.0,0.9762504936564125,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.7887102894272789,"['SFHH', 'HFHF', 'FFFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,49,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,38,0,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'HFHF', 'FFFG']"
1,71,0,1.0,0.8814479033836181,"['SFFH', 'FHFH', 'HFFH', 'HHFG']"
1,35,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,30,0,1.0,0.9332298921513504,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,32,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,44,0,1.0,0.835044266956004,"['SFFH', 'HFFH', 'FHFH', 'FHFG']"
1,36,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FHHF', 'FHFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HHFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,85,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
1,76,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,60,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HHFG']"
1,73,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
