Temperature,Simulations,Return,Discounted Return,Map
1,54,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,89,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFH', 'HHFG']"
1,58,0,1.0,0.9416796087056153,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HHFF', 'FFFG']"
1,26,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFF', 'FHFG']"
1,64,0,1.0,0.9559328248389055,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,49,0,1.0,0.8947894553945313,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,27,0,1.0,0.9332298921513504,"['SFFH', 'FFHF', 'HFHH', 'HFFG']"
1,30,0,1.0,0.8426049842298329,"['SFHF', 'HFHH', 'FFFH', 'HHFG']"
1,18,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'FHFH', 'FFFG']"
1,70,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'FHFG']"
1,73,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,90,0,1.0,0.8250687380258053,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,86,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'HFFH', 'HFFG']"
