Temperature,Simulations,Return,Discounted Return,Map
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,37,0,1.0,0.9530650263643888,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'FHHF', 'HFHG']"
1,57,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,14,0,1.0,0.8814479033836181,"['SFFF', 'HHHF', 'FHFF', 'HFFG']"
1,15,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FFFF', 'FHFG']"
1,43,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'FHHG']"
1,29,0,1.0,0.9674905716180701,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,45,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,44,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,45,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,39,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,58,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,50,0,1.0,0.8974819010978248,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,79,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,100,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'FFFF', 'HFHG']"
1,92,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,51,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,57,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,17,0,1.0,0.7816331707050701,"['SFFH', 'FFFH', 'FHFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,73,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,95,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,46,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,53,0,1.0,0.7449472384453084,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,61,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'FHFF', 'HHFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHHG']"
1,38,0,1.0,0.9083329444789534,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHFF', 'HFHG']"
1,66,0,1.0,0.9276389118674717,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,24,0,1.0,0.9138075656044898,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,83,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'HFFG']"
1,8,0,1.0,0.857932408958235,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,91,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,5,0,1.0,0.78398512608332,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,21,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,24,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'HHHG']"
1,5,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HHFF', 'HHHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,93,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,76,0,1.0,0.8300415167526705,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,54,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,59,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,80,0,1.0,0.835044266956004,"['SFHF', 'FFHH', 'FFFH', 'HHFG']"
1,25,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,36,0,1.0,0.9502058312852957,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,53,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HHFG']"
1,15,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,91,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,45,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FHHF', 'FFFG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,33,0,1.0,0.8709180316048211,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'FFFG']"
1,29,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,22,0,1.0,0.8735386475474635,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,25,0,1.0,0.8788035596734672,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,88,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,79,0,1.0,0.8631032605924442,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,54,0,1.0,0.9248559951318693,"['SFHH', 'FHFF', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFF', 'HHFG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,72,0,1.0,0.8201257512162927,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9559328248389055,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,96,0,1.0,0.9248559951318693,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,23,0,1.0,0.767668872977057,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,38,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,85,0,1.0,0.78398512608332,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFH', 'HHFG']"
1,44,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
