Temperature,Simulations,Return,Discounted Return,Map
1,12,0,1.0,0.9304302024748964,"['SFHF', 'FFFF', 'HHHF', 'FFFG']"
1,20,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,22,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,90,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,22,0,1.0,0.9220814271464737,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,66,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'HFFF', 'FFFG']"
1,57,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHHG']"
1,23,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'FHHH', 'FFFG']"
1,72,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,30,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,77,0,1.0,0.9674905716180701,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9138075656044898,"['SFFF', 'HFFH', 'HHFF', 'FFHG']"
1,60,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,40,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,91,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'HFHF', 'FHFG']"
1,78,0,1.0,0.7584982177744161,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,24,0,0.0,0.0,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,61,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,46,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,56,0,1.0,0.9110661429076764,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,60,0,1.0,0.9388545698794984,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,79,0,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'FHHF', 'FFFG']"
1,20,0,1.0,0.8657003616774767,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,15,0,1.0,0.8974819010978248,"['SFFH', 'FFFH', 'FHFF', 'HHFG']"
1,26,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFH', 'HHFG']"
1,34,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,14,0,1.0,0.9138075656044898,"['SHHH', 'FFFH', 'HFFF', 'FFFG']"
1,56,0,1.0,0.8400771692771434,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,15,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,46,0,1.0,0.9416796087056153,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,50,0,1.0,0.8400771692771434,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,46,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'FFHG']"
1,22,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'FFHG']"
1,100,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,56,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'HFHF', 'FHHG']"
1,97,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,87,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,66,0,1.0,0.9304302024748964,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,95,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,22,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,82,0,1.0,0.9645880999032158,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,93,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'HHFG']"
1,45,0,1.0,0.8275513922024125,"['SHHH', 'FFFH', 'HFHF', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,84,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHH', 'HFFG']"
1,83,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FHHF', 'FFFG']"
1,81,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,89,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,80,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,27,0,1.0,0.9502058312852957,"['SFHH', 'HFHF', 'FFHF', 'FFFG']"
1,60,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,83,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,95,0,1.0,0.9733217421754432,"['SHHF', 'FFHH', 'FHFH', 'FFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,100,0,1.0,0.93603800616986,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,67,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,97,0,1.0,0.9276389118674717,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,40,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
1,15,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,29,0,1.0,0.9083329444789534,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,24,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,62,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,87,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,83,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,32,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHHF', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,94,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,59,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,100,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,43,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,68,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFHG']"
1,60,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,39,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FFHG']"
1,94,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,65,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,34,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HHFH', 'FHFG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HHFG']"
1,88,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,30,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FHFF', 'FFFG']"
1,34,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HHFG']"
1,81,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,64,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
