Temperature,Simulations,Return,Discounted Return,Map
1,62,0,1.0,0.9645880999032158,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,12,0,1.0,0.9110661429076764,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,16,0,1.0,0.8201257512162927,"['SFHH', 'FFFF', 'HHFF', 'HFFG']"
1,86,0,1.0,0.9110661429076764,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,27,0,1.0,0.8947894553945313,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,55,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HHFG']"
1,56,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,7,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHFG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'FFFG']"
1,40,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,19,0,1.0,0.8502341582884777,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,17,0,1.0,0.767668872977057,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,39,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'FFHG']"
1,27,0,1.0,0.8894287717672626,"['SFHH', 'FFHH', 'FFHF', 'HFFG']"
1,97,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,38,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,84,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9704017769489168,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,41,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,100,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,29,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,40,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,52,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
1,29,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHHG']"
1,99,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,21,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,42,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,56,0,1.0,0.9416796087056153,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
