Temperature,Simulations,Return,Discounted Return,Map
1,92,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,55,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHFF', 'HFHG']"
1,40,0,1.0,0.9502058312852957,"['SHHH', 'FFFH', 'HFFH', 'FFFG']"
1,32,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,65,0,1.0,0.9083329444789534,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,55,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,87,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,82,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,24,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,72,0,1.0,0.9530650263643888,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,49,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,7,0,1.0,0.8974819010978248,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,74,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,92,0,1.0,0.9821344612135428,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,28,0,1.0,0.8400771692771434,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,15,0,1.0,0.9473552137914398,"['SFFF', 'HFFF', 'HHHF', 'FFFG']"
1,15,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,67,0,1.0,0.9304302024748964,"['SFFF', 'HFHH', 'FFFH', 'HHFG']"
1,49,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,61,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,70,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FFFF', 'HFFG']"
