Temperature,Simulations,Return,Discounted Return,Map
1,27,0,1.0,0.7562227231210928,"['SHHF', 'FHHF', 'FFFF', 'HFHG']"
1,37,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'HFFH', 'FFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,45,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HHHF', 'HFFG']"
1,25,0,1.0,0.835044266956004,"['SFFH', 'FHFH', 'HFFF', 'HFHG']"
1,7,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,8,0,1.0,0.8657003616774767,"['SFFF', 'HFHF', 'FHFF', 'FHHG']"
1,84,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,37,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,65,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,18,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,74,0,1.0,0.9674905716180701,"['SHFF', 'FHHH', 'FHHF', 'FFFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,44,0,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,39,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,45,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,6,0,1.0,0.7722956964947572,"['SFHH', 'HFHH', 'FFFF', 'FFFG']"
1,93,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFF', 'HHHF', 'FHFF', 'FFFG']"
1,100,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,98,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,48,0,1.0,0.9165572373164391,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,96,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,38,0,1.0,0.8709180316048211,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,87,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,41,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,99,0,1.0,0.9588092525966956,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,76,0,1.0,0.8788035596734672,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'FHFF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,86,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'FFFF', 'HHFG']"
1,10,0,1.0,0.837556937769312,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,4,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,81,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,86,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,51,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HFHG']"
1,88,0,1.0,0.9762504936564125,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFH', 'HFFG']"
1,64,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,17,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
1,19,0,1.0,0.9083329444789534,"['SFFF', 'FFHH', 'HFHH', 'HFFG']"
1,63,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFF', 'HFFG']"
1,82,0,1.0,0.8103284404851119,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,67,0,1.0,0.9416796087056153,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,70,0,1.0,0.9276389118674717,"['SFHH', 'FFFH', 'FFFF', 'FFHG']"
1,96,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'HFFF', 'FHFG']"
1,41,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,91,0,1.0,0.835044266956004,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,69,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,66,0,1.0,0.8921050870283477,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'HHFG']"
1,21,0,1.0,0.8300415167526705,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,65,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,44,0,1.0,0.798246224976786,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,96,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,27,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HFHF', 'FHHG']"
1,82,0,1.0,0.9559328248389055,"['SFHH', 'FFHH', 'FFFF', 'FHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,73,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'HFFH', 'FHFG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,44,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,36,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'HHFH', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HHHG']"
1,88,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,38,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,28,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'FHHF', 'FHFG']"
1,23,0,1.0,0.8683052775100066,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,37,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,50,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FHFF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FHFF', 'FFFG']"
1,9,0,1.0,0.9056079456455165,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,90,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'HFFG']"
1,77,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'FHHG']"
1,100,0,1.0,0.7449472384453084,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,50,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9704017769489168,"['SFHH', 'FHHH', 'FFHF', 'FFFG']"
1,80,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,100,0,1.0,0.9530650263643888,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,30,0,1.0,0.8814479033836181,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,8,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,36,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,56,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'HHFG']"
1,93,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,65,0,1.0,0.9248559951318693,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,14,0,1.0,0.9416796087056153,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,17,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,44,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'HFHG']"
1,28,0,0.0,0.0,"['SHFH', 'FFHH', 'FHHF', 'FFFG']"
1,91,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FHHF', 'FFFG']"
1,33,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,61,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,83,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,27,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,16,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,24,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9502058312852957,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,31,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FFHF', 'HHHG']"
1,84,0,1.0,0.8947894553945313,"['SFHH', 'HFFH', 'HHFF', 'FHHG']"
1,84,0,1.0,0.9588092525966956,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,57,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,79,0,1.0,0.9388545698794984,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,19,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HFFF', 'FFFG']"
1,49,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,65,0,1.0,0.9559328248389055,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,47,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,29,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,20,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,78,0,1.0,0.9083329444789534,"['SFHF', 'FFFH', 'FHFF', 'HFHG']"
1,89,0,1.0,0.884100203995605,"['SFFH', 'HFFF', 'HFHH', 'HFFG']"
1,39,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,51,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'FHFH', 'FFFG']"
1,52,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFF', 'FFFG']"
1,88,0,1.0,0.884100203995605,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,19,0,1.0,0.9165572373164391,"['SFFF', 'HHHF', 'HFFF', 'HHHG']"
1,49,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,23,0,1.0,0.884100203995605,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,9,0,1.0,0.7863441585589971,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,39,0,1.0,0.985089730404757,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,75,0,1.0,0.9704017769489168,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,62,0,1.0,0.9304302024748964,"['SHHH', 'FFFH', 'FHHF', 'FFFG']"
1,31,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,46,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,19,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,89,0,1.0,0.8476834558136123,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,56,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,84,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,65,0,1.0,0.9445131481500655,"['SFFF', 'HHFH', 'FHFH', 'FHFG']"
1,82,0,1.0,0.9616943356035061,"['SHHH', 'FHHH', 'FHHF', 'FFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HHFF', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,59,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'FFFF', 'FHFG']"
1,39,0,1.0,0.9056079456455165,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HFFG']"
1,89,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,41,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,36,0,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'FFFF', 'HHFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,98,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,43,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'FFFF', 'HHHG']"
1,40,0,1.0,0.9248559951318693,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,9,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,35,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,72,0,1.0,0.93603800616986,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,46,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,70,0,1.0,0.9588092525966956,"['SFHF', 'FHFH', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFHH', 'FFFG']"
1,41,0,1.0,0.7863441585589971,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,6,0,1.0,0.767668872977057,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,100,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HFHF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,88,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,95,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FHFG']"
1,39,0,1.0,0.985089730404757,"['SFFF', 'FHHH', 'FFHH', 'FFFG']"
1,34,0,1.0,0.8657003616774767,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,97,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FHFF', 'FFHG']"
1,50,0,1.0,0.9388545698794984,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,4,0,1.0,0.7816331707050701,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,32,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,46,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'HHFG']"
1,76,0,1.0,0.9704017769489168,"['SFHH', 'FFHH', 'FFHH', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,17,0,0.0,0.0,"['SFFF', 'FHFF', 'FHFH', 'FHFG']"
1,96,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,86,0,1.0,0.9056079456455165,"['SFHF', 'FFFH', 'FHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,21,0,1.0,0.7516921927868743,"['SFHF', 'HFFH', 'HFHH', 'FFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,99,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFFF', 'FFHG']"
1,88,0,1.0,0.9445131481500655,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'HFFF', 'HFHG']"
1,25,0,1.0,0.7910835400474212,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,18,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,32,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,98,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,49,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,83,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,57,0,1.0,0.9733217421754432,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,22,0,1.0,0.7562227231210928,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,87,0,1.0,0.9733217421754432,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,56,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,27,0,1.0,0.9248559951318693,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,58,0,1.0,0.93603800616986,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,58,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,98,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,64,0,1.0,0.9276389118674717,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9502058312852957,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,37,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'FHHF', 'HHFG']"
1,7,0,1.0,0.9388545698794984,"['SFFF', 'FHFF', 'HFFF', 'HHFG']"
1,59,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'FHFG']"
1,22,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,21,0,1.0,0.9110661429076764,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,98,0,1.0,0.9248559951318693,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,20,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9473552137914398,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,54,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFHG']"
1,82,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,54,0,1.0,0.9165572373164391,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,26,0,1.0,0.8974819010978248,"['SFHH', 'HFHH', 'FFFH', 'FFFG']"
1,77,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,7,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,31,0,1.0,0.7887102894272789,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,74,0,1.0,0.9559328248389055,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HHFG']"
1,84,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,96,0,1.0,0.9588092525966956,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,22,0,1.0,0.837556937769312,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,12,0,1.0,0.884100203995605,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9733217421754432,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
