Temperature,Simulations,Return,Discounted Return,Map
1,69,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HFHH', 'HFFG']"
1,24,0,1.0,0.9276389118674717,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,100,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFHF', 'FHFG']"
1,71,0,1.0,0.9616943356035061,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,33,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,78,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFHF', 'HHFG']"
1,18,0,1.0,0.9530650263643888,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,75,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,74,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,46,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,35,0,1.0,0.798246224976786,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,97,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,42,0,1.0,0.9220814271464737,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,79,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FHFG']"
1,68,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,76,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,78,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,80,0,1.0,0.9056079456455165,"['SFHH', 'FFFF', 'HHHF', 'FHHG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFHF', 'FHHG']"
1,15,0,0.0,0.0,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,85,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,51,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HFHF', 'FHFG']"
1,45,0,1.0,0.9304302024748964,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,98,0,1.0,0.7722956964947572,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHF', 'HFFG']"
1,77,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,78,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,29,0,1.0,0.8054737627981655,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,70,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFFH', 'HHFG']"
1,31,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,15,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'FFFG']"
1,65,0,1.0,0.8502341582884777,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,73,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,88,0,1.0,0.93603800616986,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,28,0,1.0,0.8867604854519608,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,48,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,89,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,63,0,1.0,0.9473552137914398,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,43,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,12,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'HFFF', 'FHFG']"
1,81,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HFHF', 'FHFG']"
1,12,0,1.0,0.860513950810667,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,85,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,74,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHHF', 'HHHG']"
1,48,0,1.0,0.7816331707050701,"['SHHH', 'FFFH', 'HHFF', 'HFFG']"
1,43,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'HFFH', 'HFFG']"
1,92,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
