Temperature,Simulations,Return,Discounted Return,Map
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,36,0,1.0,0.8814479033836181,"['SFFF', 'HHFH', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HHFG']"
1,57,0,1.0,0.985089730404757,"['SFFH', 'FHHF', 'FFHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9616943356035061,"['SFHH', 'FHFF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.8921050870283477,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'HFFF', 'FFFG']"
1,46,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'HFFG']"
1,19,0,1.0,0.9304302024748964,"['SFHH', 'HFFH', 'FFFH', 'FFFG']"
1,18,0,1.0,0.8761671489944468,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,47,0,1.0,0.9473552137914398,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,64,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHHF', 'FFHG']"
1,72,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,36,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FHFF', 'HHHG']"
1,35,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHFF', 'HHFG']"
1,39,0,1.0,0.8867604854519608,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,40,0,1.0,0.8426049842298329,"['SHFH', 'FFHF', 'FHHF', 'FFFG']"
1,49,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,94,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,57,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,83,0,1.0,0.9821344612135428,"['SHFH', 'FHHF', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'HHFF', 'HHHG']"
1,8,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFFG']"
1,17,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'HFFF', 'HHHG']"
1,35,0,1.0,0.9220814271464737,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,32,0,1.0,0.8476834558136123,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,20,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9473552137914398,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,40,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,89,0,1.0,0.9416796087056153,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,24,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHFF', 'FFHG']"
1,67,0,1.0,0.9473552137914398,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,29,0,1.0,0.7427123967299725,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,83,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFFF', 'HHHG']"
1,43,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,40,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,62,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,38,0,1.0,0.8788035596734672,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,76,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,65,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,70,0,1.0,0.9388545698794984,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,24,0,1.0,0.9165572373164391,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,31,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFHH', 'FFFG']"
1,32,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.857932408958235,"['SFHH', 'FFFF', 'FFHF', 'FFHG']"
1,9,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,22,0,1.0,0.9645880999032158,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,62,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,11,0,1.0,0.7792882711929549,"['SHFF', 'FHFF', 'FHFF', 'FFFG']"
1,45,0,1.0,0.9704017769489168,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,49,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'FHHG']"
1,24,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'HFFG']"
1,62,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'FFFG']"
1,20,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'HFFG']"
1,80,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHHF', 'HHFG']"
1,26,0,1.0,0.9416796087056153,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,31,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,9,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFH', 'HHFG']"
1,37,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHHF', 'FFFG']"
1,67,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,30,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,62,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'HFHH', 'HFFG']"
1,81,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,89,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FHFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'HHFG']"
1,58,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,95,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'HFFH', 'HFFG']"
1,67,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,61,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HHFH', 'HFFG']"
1,86,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FFFG']"
1,18,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HHFF', 'FHFG']"
1,88,0,1.0,0.8894287717672626,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,72,0,1.0,0.9276389118674717,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,41,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHHG']"
1,25,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,23,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HFHF', 'FHFG']"
1,29,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,20,0,1.0,0.8054737627981655,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,69,0,1.0,0.8176653739626438,"['SFHF', 'HFFF', 'FHFH', 'FFFG']"
1,44,0,1.0,0.8400771692771434,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,57,0,1.0,0.8225935318117279,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,85,0,1.0,0.9645880999032158,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HFFG']"
1,71,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,62,0,1.0,0.8788035596734672,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,87,0,1.0,0.9530650263643888,"['SHFH', 'FHFH', 'FFHF', 'FFFG']"
1,82,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFFH', 'HHFG']"
1,55,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HFFG']"
1,69,0,1.0,0.9138075656044898,"['SFFF', 'HFFH', 'FFHH', 'HFFG']"
1,38,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,90,0,1.0,0.9193151828650342,"['SFHF', 'FHFH', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9416796087056153,"['SFFF', 'FHHF', 'HFHF', 'FFHG']"
1,57,0,1.0,0.8788035596734672,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,13,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,61,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,45,0,1.0,0.857932408958235,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,76,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
