Temperature,Simulations,Return,Discounted Return,Map
1,61,0,1.0,0.9220814271464737,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,24,0,1.0,0.90289112180858,"['SHFF', 'FFFF', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,63,0,1.0,0.9248559951318693,"['SHFH', 'FFFF', 'FFFH', 'HHFG']"
1,36,0,1.0,0.9304302024748964,"['SHHH', 'FFHH', 'FHFF', 'FFFG']"
1,97,0,1.0,0.747188804859888,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,37,0,1.0,0.9110661429076764,"['SFFF', 'FFHF', 'HHHF', 'HFFG']"
1,78,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,36,0,1.0,0.9276389118674717,"['SFHH', 'FFHF', 'HFFF', 'FHFG']"
1,18,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FFFF', 'HFFG']"
1,67,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FFHF', 'FFHG']"
1,40,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FFFH', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FHHF', 'FHFG']"
1,54,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HHFF', 'HFHG']"
1,82,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,13,0,1.0,0.9001824484431542,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'FFHH', 'FHFF', 'FFFG']"
1,43,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFF', 'HHFG']"
1,43,0,1.0,0.9220814271464737,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,29,0,1.0,0.7792882711929549,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,67,0,1.0,0.8761671489944468,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHHF', 'FFFG']"
1,12,0,1.0,0.8867604854519608,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
