Temperature,Simulations,Return,Discounted Return,Map
1,50,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,67,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,87,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,32,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'FHFF', 'FHHG']"
1,21,0,1.0,0.9001824484431542,"['SFFH', 'FHFF', 'HHFF', 'FFHG']"
1,38,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,77,0,1.0,0.9332298921513504,"['SFHH', 'FFFH', 'HHFF', 'HFHG']"
1,92,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'HHFF', 'FFFG']"
1,49,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,73,0,1.0,0.776950406379376,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,77,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,47,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,44,0,1.0,0.9001824484431542,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,40,0,1.0,0.9645880999032158,"['SFFH', 'FHHH', 'FHFH', 'FFFG']"
1,10,0,1.0,0.7630697687590515,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,82,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,59,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,41,0,1.0,0.8814479033836181,"['SFFH', 'HFFF', 'HFHF', 'HFFG']"
1,65,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHFG']"
