Temperature,Simulations,Return,Discounted Return,Map
1,78,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,65,0,1.0,0.8894287717672626,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,59,0,1.0,0.8867604854519608,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,62,0,1.0,0.93603800616986,"['SHFF', 'FFFF', 'FHHF', 'FFHG']"
1,21,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,48,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,81,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'FHHF', 'FFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HHFH', 'HFFG']"
1,66,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,62,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,89,0,1.0,0.9445131481500655,"['SHFF', 'FHFH', 'FFFF', 'FHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'HFFF', 'HHFG']"
1,38,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,69,0,1.0,0.8894287717672626,"['SFHH', 'HFFH', 'HFHF', 'FFFG']"
1,40,0,1.0,0.9276389118674717,"['SFFH', 'FFHH', 'HFFF', 'HHFG']"
1,22,0,1.0,0.8974819010978248,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,37,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,42,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,62,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFHF', 'HFHG']"
1,60,0,1.0,0.9416796087056153,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,50,0,1.0,0.7449472384453084,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHHG']"
1,48,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,76,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,84,0,1.0,0.7910835400474212,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
