Temperature,Simulations,Return,Discounted Return,Map
1,10,0,0.0,0.0,"['SFFH', 'HFFH', 'FHFF', 'HHHG']"
1,51,0,1.0,0.8201257512162927,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,24,0,1.0,0.7562227231210928,"['SFHF', 'HFFF', 'HFHF', 'HHHG']"
1,92,0,1.0,0.90289112180858,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,45,0,1.0,0.9056079456455165,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,69,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,90,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFF', 'HFFF', 'HHFG']"
1,12,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFF', 'HHFG']"
1,61,0,1.0,0.90289112180858,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,97,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'FFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.9276389118674717,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
1,6,0,1.0,0.9083329444789534,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,68,0,1.0,0.9248559951318693,"['SFFF', 'HFHH', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,98,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FFHF', 'FHHG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'FHFG']"
1,29,0,1.0,0.9588092525966956,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,58,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,65,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,66,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'HFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,68,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,28,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,79,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,53,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,57,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FFFH', 'FHFG']"
1,43,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFHH', 'FFFG']"
1,35,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HFHF', 'FFHG']"
1,84,0,1.0,0.8921050870283477,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
