Temperature,Simulations,Return,Discounted Return,Map
1,94,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,65,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFF', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'FFFG']"
1,17,0,1.0,0.9110661429076764,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,10,0,1.0,0.9220814271464737,"['SHFH', 'FFHH', 'FFFF', 'HFFG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,20,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FHFG']"
1,10,0,1.0,0.7516921927868743,"['SFFH', 'HFHF', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFFH', 'HHFG']"
1,63,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,90,0,1.0,0.8867604854519608,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,86,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,51,0,1.0,0.8947894553945313,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,5,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,99,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,99,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,89,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'FHFH', 'FFFG']"
1,68,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,98,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,89,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,60,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'FFFH', 'HHFG']"
1,75,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHFH', 'HFFG']"
1,94,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,69,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,49,0,1.0,0.9388545698794984,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,73,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,82,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,35,0,1.0,0.9056079456455165,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,50,0,1.0,0.8553586117313603,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,61,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,58,0,1.0,0.93603800616986,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,55,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FHFG']"
1,49,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,81,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHH', 'HFFG']"
1,67,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,15,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,58,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,36,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,60,0,1.0,0.857932408958235,"['SHHF', 'FFHH', 'HFHF', 'HFFG']"
1,43,0,1.0,0.7958514863018556,"['SHHH', 'FFFH', 'FFFH', 'HHFG']"
1,77,0,1.0,0.9791880578299021,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,14,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
1,51,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,61,0,1.0,0.9530650263643888,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'FFFG']"
1,39,0,1.0,0.9704017769489168,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,48,0,1.0,0.93603800616986,"['SFHF', 'HFFH', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,65,0,1.0,0.9304302024748964,"['SFHF', 'HFHF', 'FFHH', 'HFFG']"
1,63,0,1.0,0.8553586117313603,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,56,0,1.0,0.90289112180858,"['SFFF', 'HFFH', 'FFFF', 'HHHG']"
1,59,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,100,0,1.0,0.9473552137914398,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,80,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,75,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFHF', 'FFFG']"
1,96,0,1.0,0.8553586117313603,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,67,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,85,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'FHHH', 'FFFG']"
1,19,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'HFFF', 'FFFG']"
1,97,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,92,0,1.0,0.747188804859888,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,92,0,1.0,0.9056079456455165,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,42,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,45,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,45,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,51,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9276389118674717,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
