Temperature,Simulations,Return,Discounted Return,Map
1,64,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,37,0,1.0,0.8527925358961662,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,42,0,1.0,0.90289112180858,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,58,0,1.0,0.90289112180858,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,60,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,18,0,1.0,0.79346393184295,"['SFHF', 'FFHH', 'HFFH', 'HFFG']"
1,65,0,1.0,0.8921050870283477,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,57,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,27,0,1.0,0.9220814271464737,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,53,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,97,0,1.0,0.7607805594527743,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,3,0,1.0,0.7863441585589971,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,72,0,1.0,0.9821344612135428,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,9,0,1.0,0.837556937769312,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,45,0,1.0,0.9762504936564125,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,18,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,50,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HFHF', 'HHFG']"
1,35,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,39,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHFF', 'HHHG']"
1,27,0,1.0,0.8225935318117279,"['SFHH', 'HFFH', 'HHFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,97,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,31,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,12,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHFG']"
1,13,0,1.0,0.8476834558136123,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,40,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,21,0,1.0,0.8127667407072335,"['SFHH', 'HFHF', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FFFF', 'HFFG']"
1,60,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,41,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,86,0,1.0,0.7539540549517295,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,77,0,1.0,0.9388545698794984,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,21,0,1.0,0.8176653739626438,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,17,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,34,0,1.0,0.90289112180858,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,75,0,1.0,0.9110661429076764,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,27,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,72,0,1.0,0.9416796087056153,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,27,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFH', 'FFFG']"
1,75,0,1.0,0.9791880578299021,"['SHFF', 'FHHF', 'FFFF', 'FHFG']"
1,12,0,1.0,0.8176653739626438,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,56,0,1.0,0.9248559951318693,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,16,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,93,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HHFF', 'HHHG']"
1,38,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,50,0,1.0,0.7722956964947572,"['SHHF', 'FFFH', 'HHFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,25,0,1.0,0.776950406379376,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,55,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HHFG']"
1,43,0,1.0,0.9165572373164391,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HHHF', 'HFFG']"
1,13,0,1.0,0.8553586117313603,"['SHHF', 'FFHF', 'FFFH', 'HFFG']"
1,100,0,1.0,0.9559328248389055,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'HHFG']"
1,50,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHH', 'HFFG']"
1,54,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,60,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFHF', 'FHHG']"
1,36,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,48,0,1.0,0.9165572373164391,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,28,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'FHFF', 'FHHG']"
1,91,0,1.0,0.9416796087056153,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,42,0,1.0,0.837556937769312,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,50,0,1.0,0.9559328248389055,"['SHFF', 'FHFH', 'FFFF', 'HFFG']"
1,44,0,1.0,0.8225935318117279,"['SFHH', 'HFHH', 'FFFF', 'HHHG']"
1,16,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'FFFH', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FHHF', 'FFFG']"
1,56,0,1.0,0.8127667407072335,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,88,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'FHFG']"
1,38,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FHFF', 'HFHG']"
1,41,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'HHFG']"
1,80,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,47,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,67,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HHFG']"
