Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.884100203995605,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,19,0,1.0,0.8735386475474635,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,15,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FFFF', 'FFFG']"
1,48,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFFH', 'FFFG']"
1,36,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,98,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,47,0,1.0,0.860513950810667,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,59,0,1.0,0.860513950810667,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,20,0,1.0,0.9110661429076764,"['SFHH', 'FFHH', 'HFFH', 'FFFG']"
1,98,0,1.0,0.9674905716180701,"['SHFF', 'FHHF', 'FHFH', 'FFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HHFG']"
1,80,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,25,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,21,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHFF', 'FHFG']"
1,80,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,61,0,1.0,0.8867604854519608,"['SFFF', 'FHFH', 'FHHH', 'FFFG']"
1,91,0,1.0,0.9530650263643888,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,99,0,1.0,0.7699788094052729,"['SFHH', 'FHFH', 'FFFH', 'HHFG']"
1,35,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFF', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,81,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,45,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,65,0,1.0,0.9001824484431542,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,72,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,28,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,82,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,42,0,1.0,0.9445131481500655,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,54,0,1.0,0.8502341582884777,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,23,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,92,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,82,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HFFF', 'FFFG']"
1,25,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'FHFG']"
1,59,0,1.0,0.9559328248389055,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,31,0,1.0,0.9138075656044898,"['SFFF', 'HFFF', 'FFFH', 'FFFG']"
1,20,0,1.0,0.8103284404851119,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,61,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,18,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FFHF', 'FFHG']"
1,71,0,1.0,0.9616943356035061,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,71,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,39,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,23,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,24,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHHG']"
1,15,0,1.0,0.7887102894272789,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFHG']"
1,51,0,1.0,0.767668872977057,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FHFF', 'HFFG']"
1,79,0,1.0,0.9001824484431542,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,90,0,1.0,0.9645880999032158,"['SHFH', 'FFFH', 'FFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,20,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,25,0,1.0,0.857932408958235,"['SFFF', 'FFHH', 'FHFH', 'FFFG']"
1,90,0,1.0,0.9056079456455165,"['SFFH', 'FFHH', 'HFHH', 'FFFG']"
1,48,0,1.0,0.9674905716180701,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,65,0,1.0,0.9674905716180701,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,67,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,55,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,39,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,57,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HFHG']"
1,37,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,38,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,83,0,1.0,0.9645880999032158,"['SFHH', 'FFHF', 'FFHF', 'FFFG']"
1,39,0,1.0,0.9165572373164391,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,57,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,47,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9530650263643888,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,94,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,12,0,1.0,0.884100203995605,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,77,0,1.0,0.9473552137914398,"['SFHH', 'FFHF', 'FFHF', 'HFFG']"
1,53,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,98,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,75,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,37,0,1.0,0.8921050870283477,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,23,0,1.0,0.9530650263643888,"['SFHH', 'FFHH', 'HFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,22,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,52,0,1.0,0.803057341509771,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,81,0,1.0,0.837556937769312,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,58,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,27,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,45,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,75,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
