Temperature,Simulations,Return,Discounted Return,Map
1,25,0,1.0,0.9588092525966956,"['SFHF', 'FFHF', 'HFFF', 'HHFG']"
1,40,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HHHF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'FFHG']"
1,87,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HFHF', 'FFFG']"
1,22,0,1.0,0.9083329444789534,"['SFFF', 'FHHF', 'FHHF', 'FHFG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,67,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,94,0,1.0,0.9165572373164391,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,56,0,1.0,0.8451404054461714,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,87,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,61,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,63,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,58,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,16,0,1.0,0.9220814271464737,"['SHHH', 'FHFH', 'FFFF', 'FFFG']"
1,95,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'HHHF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,99,0,1.0,0.8788035596734672,"['SHFH', 'FHFF', 'FFFH', 'HHFG']"
1,13,0,1.0,0.9388545698794984,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,70,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HHHG']"
1,38,0,1.0,0.8631032605924442,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
