Temperature,Simulations,Return,Discounted Return,Map
1,9,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,89,0,1.0,0.9616943356035061,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,53,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,52,0,1.0,0.9559328248389055,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,55,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SFFF', 'HFHH', 'HFFH', 'HFFG']"
1,33,0,1.0,0.9304302024748964,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHFH', 'FHFG']"
1,44,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HFHG']"
1,21,0,1.0,0.8788035596734672,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,28,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,63,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'HFFG']"
1,20,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFF', 'FHHG']"
1,90,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,90,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFH', 'HFFG']"
1,21,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,87,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,91,0,1.0,0.9332298921513504,"['SFFF', 'FHFH', 'HFFH', 'FHFG']"
1,11,0,1.0,0.884100203995605,"['SFFH', 'HFHF', 'HFFH', 'FFFG']"
1,76,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,91,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,25,0,1.0,0.8709180316048211,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,98,0,1.0,0.9674905716180701,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
1,33,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,62,0,1.0,0.9559328248389055,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
1,60,0,1.0,0.7958514863018556,"['SFFH', 'HFHH', 'FFHF', 'HFFG']"
1,96,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9473552137914398,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,75,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,41,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
1,26,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,76,0,1.0,0.9416796087056153,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,63,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'HFFH', 'FFFG']"
1,49,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFFF', 'HHHG']"
1,51,0,1.0,0.8947894553945313,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,17,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,38,0,1.0,0.9616943356035061,"['SHFH', 'FFFH', 'HFFF', 'FHFG']"
1,99,0,1.0,0.9674905716180701,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9138075656044898,"['SHHH', 'FFHH', 'FHHF', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,56,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,56,0,1.0,0.9733217421754432,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,94,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
