Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9220814271464737,"['SFHF', 'HFFH', 'FHFF', 'FFFG']"
1,49,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,20,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,83,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHH', 'HFFG']"
1,85,0,1.0,0.8683052775100066,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,91,0,1.0,0.9530650263643888,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,87,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,38,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,15,0,1.0,0.8657003616774767,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,22,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHHG']"
1,66,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HHHF', 'FHFG']"
1,11,0,1.0,0.8761671489944468,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,80,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,24,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,42,0,1.0,0.9056079456455165,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'HFFG']"
1,52,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HHFG']"
1,66,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'HFHF', 'FHFG']"
1,96,0,1.0,0.9791880578299021,"['SFHH', 'FHHF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,82,0,1.0,0.8867604854519608,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,17,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,86,0,1.0,0.9165572373164391,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,98,0,1.0,0.835044266956004,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,35,0,1.0,0.9416796087056153,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,65,0,1.0,0.9165572373164391,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,8,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,44,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,96,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HFFF', 'HHHG']"
1,26,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,79,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,49,0,0.0,0.0,"['SFFF', 'FHHF', 'FFFH', 'HHFG']"
1,69,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,32,0,1.0,0.7539540549517295,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,54,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9559328248389055,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,24,0,1.0,0.9138075656044898,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'FHFG']"
1,49,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,48,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFF', 'FFFG']"
1,49,0,1.0,0.9530650263643888,"['SHFH', 'FFFH', 'HFFH', 'HFFG']"
1,67,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'FFHH', 'HFFG']"
1,33,0,1.0,0.9304302024748964,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,8,0,1.0,0.8426049842298329,"['SFFF', 'HFHF', 'HFHF', 'HHHG']"
1,56,0,1.0,0.9165572373164391,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,85,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,11,0,1.0,0.8152123778407558,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,36,0,1.0,0.9588092525966956,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,87,0,1.0,0.9416796087056153,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,72,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,28,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,56,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,60,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,68,0,1.0,0.8476834558136123,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,96,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,79,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,65,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,88,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'HFFH', 'HFFG']"
1,71,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,87,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,73,0,1.0,0.9110661429076764,"['SFFF', 'HFHF', 'HFFH', 'FFFG']"
1,79,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,34,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHHG']"
1,97,0,1.0,0.9193151828650342,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,7,0,1.0,0.8275513922024125,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,91,0,1.0,0.7449472384453084,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,73,0,0.0,0.0,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,53,0,1.0,0.9138075656044898,"['SFFH', 'HHFF', 'FFFH', 'HHFG']"
1,52,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'HHFG']"
1,94,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,51,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'FHFH', 'FHFG']"
1,66,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,78,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,63,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,94,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
1,93,0,1.0,0.9791880578299021,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,60,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,84,0,1.0,0.9559328248389055,"['SFHF', 'HFHF', 'FFFF', 'FHFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'HHFG']"
1,44,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'FHHG']"
1,8,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,48,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FHFF', 'HFHG']"
1,86,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.7630697687590515,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HFFG']"
1,74,0,1.0,0.9616943356035061,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,67,0,1.0,0.9791880578299021,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
