Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'FFFG']"
1,55,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,36,0,1.0,0.9056079456455165,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,91,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHFF', 'HFFG']"
1,59,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,11,0,1.0,0.8894287717672626,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,27,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'FHFF', 'FHHG']"
1,70,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FHFF', 'HHFG']"
1,55,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFF', 'FFHG']"
1,69,0,1.0,0.9416796087056153,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,90,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,51,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,74,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'HHFF', 'FFFG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,23,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,29,0,1.0,0.9674905716180701,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,60,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,70,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'FFFH', 'FFFG']"
1,84,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
