Temperature,Simulations,Return,Discounted Return,Map
1,9,0,1.0,0.8735386475474635,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,17,0,1.0,0.8006481694852418,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,85,0,1.0,0.985089730404757,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,41,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,41,0,1.0,0.7539540549517295,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,60,0,1.0,0.9559328248389055,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,69,0,1.0,0.835044266956004,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,83,0,1.0,0.9276389118674717,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,72,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,54,0,1.0,0.7722956964947572,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,81,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,40,0,1.0,0.8400771692771434,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,88,0,1.0,0.9388545698794984,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,69,0,1.0,0.9791880578299021,"['SHFF', 'FHHH', 'FFHH', 'FFFG']"
1,5,0,1.0,0.8867604854519608,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,34,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHHF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,64,0,1.0,0.9762504936564125,"['SHHH', 'FFHF', 'FFFF', 'FHFG']"
1,89,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'FHHG']"
1,71,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,73,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,83,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,89,0,1.0,0.8400771692771434,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'HHFG']"
1,92,0,1.0,0.90289112180858,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFH', 'FFFG']"
1,26,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HHFG']"
1,36,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
1,18,0,1.0,0.90289112180858,"['SFFH', 'FHFH', 'HFFH', 'HHFG']"
1,13,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,42,0,1.0,0.9791880578299021,"['SHFH', 'FHHF', 'FFFF', 'FFFG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HFHG']"
1,52,0,1.0,0.9674905716180701,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,17,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHFF', 'FHHF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,31,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'FHFF', 'FHHG']"
1,87,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,64,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,54,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,22,0,1.0,0.8683052775100066,"['SFFF', 'FFFH', 'FHFF', 'FFHG']"
1,30,0,1.0,0.8152123778407558,"['SHFF', 'FHHF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,27,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFH', 'FHHF', 'FFFG']"
1,19,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,60,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,95,0,1.0,0.9138075656044898,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,97,0,1.0,0.9304302024748964,"['SHHH', 'FHHF', 'FFHH', 'HFFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,33,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FFHG']"
1,97,0,1.0,0.9388545698794984,"['SFHH', 'FFFH', 'FHFH', 'FHFG']"
1,39,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,88,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,20,0,1.0,0.8631032605924442,"['SFHH', 'FFHF', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'FFFG']"
1,84,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,100,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FHHF', 'FFFG']"
1,56,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,9,0,1.0,0.7746195551602378,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,97,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'HFFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,63,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,64,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,3,0,1.0,0.8683052775100066,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,90,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,59,0,1.0,0.8400771692771434,"['SFHH', 'HFFF', 'FFHF', 'HHHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,15,0,1.0,0.9110661429076764,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,42,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHF', 'HFFG']"
1,12,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'HFFG']"
1,29,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,43,0,1.0,0.798246224976786,"['SFHH', 'FFHF', 'HFFF', 'FFHG']"
1,85,0,1.0,0.9645880999032158,"['SHFH', 'FHHF', 'FHHF', 'FFFG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'FHFG']"
1,31,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'HFFG']"
1,41,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,82,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FHFF', 'FFFG']"
1,70,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,23,0,0.0,0.0,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
