Temperature,Simulations,Return,Discounted Return,Map
1,51,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHFG']"
1,79,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,40,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,10,0,1.0,0.8127667407072335,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,48,0,1.0,0.9645880999032158,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,36,0,1.0,0.7653658663581259,"['SFFH', 'FHFH', 'HHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,88,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,82,0,1.0,0.8325391341551359,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,26,0,1.0,0.9304302024748964,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,85,0,1.0,0.8974819010978248,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,72,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'FFFF', 'FHHG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,81,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,78,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,56,0,1.0,0.9704017769489168,"['SHFF', 'FHHF', 'FHHF', 'FFFG']"
1,40,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,55,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,78,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,40,0,1.0,0.7887102894272789,"['SFFH', 'FHFF', 'FFHF', 'FFHG']"
1,99,0,1.0,0.9332298921513504,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,75,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SHFF', 'FHFH', 'FHHH', 'FFFG']"
1,59,0,1.0,0.9502058312852957,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,23,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFF', 'FFFG']"
