Temperature,Simulations,Return,Discounted Return,Map
1,80,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,71,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,36,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,22,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,63,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,47,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHHG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HHHG']"
1,49,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,53,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,7,0,0.0,0.0,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,9,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,42,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'FHHF', 'HFFG']"
1,100,0,1.0,0.9473552137914398,"['SFHH', 'FFHH', 'FHHH', 'FFFG']"
1,19,0,1.0,0.90289112180858,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,86,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9588092525966956,"['SFFH', 'FFHF', 'FHHF', 'FFFG']"
1,34,0,1.0,0.9220814271464737,"['SFFF', 'FHFF', 'HHHF', 'HHFG']"
1,23,0,1.0,0.985089730404757,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,28,0,1.0,0.9530650263643888,"['SHHF', 'FHFF', 'FFHF', 'FFFG']"
1,25,0,1.0,0.7792882711929549,"['SFFF', 'FFHF', 'FFHH', 'FFFG']"
1,3,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFF', 'HHFG']"
1,40,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,57,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,42,0,1.0,0.8502341582884777,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,20,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,36,0,1.0,0.8788035596734672,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,35,0,1.0,0.7516921927868743,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,79,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HHFF', 'HHFG']"
1,27,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FHHG']"
1,62,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,32,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,83,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,45,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,76,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,32,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,40,0,1.0,0.7887102894272789,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,44,0,0.0,0.0,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,34,0,1.0,0.7699788094052729,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,44,0,1.0,0.9276389118674717,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,57,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,98,0,1.0,0.9138075656044898,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,53,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HHFF', 'HFHG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,40,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SFFF', 'FFFH', 'FHHF', 'FFFG']"
1,63,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,71,0,1.0,0.9588092525966956,"['SFFH', 'FFHF', 'HFFH', 'FFFG']"
1,54,0,1.0,0.9530650263643888,"['SHHF', 'FFFH', 'FHHF', 'FFFG']"
1,94,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'FFHF', 'FFFG']"
1,87,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFFH', 'HFHF', 'FFFG']"
1,49,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,27,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,52,0,1.0,0.9733217421754432,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,46,0,1.0,0.8631032605924442,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HFHG']"
1,33,0,1.0,0.798246224976786,"['SFFF', 'HHFF', 'HHFH', 'FFFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'FFHF', 'FFHF', 'FFHG']"
1,53,0,1.0,0.9704017769489168,"['SFFH', 'FHHH', 'FFFF', 'FHFG']"
1,97,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,7,0,1.0,0.9138075656044898,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,22,0,1.0,0.7539540549517295,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,63,0,1.0,0.9110661429076764,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,14,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,59,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFHF', 'HFHG']"
1,97,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,54,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'FFFF', 'FFFG']"
1,29,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,58,0,1.0,0.8325391341551359,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,61,0,1.0,0.9165572373164391,"['SFFH', 'FHHH', 'FHFH', 'FFFG']"
1,98,0,1.0,0.9276389118674717,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,54,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,15,0,1.0,0.9559328248389055,"['SFHF', 'FFHF', 'HFFF', 'FHFG']"
1,96,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,81,0,1.0,0.8527925358961662,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,36,0,1.0,0.8275513922024125,"['SHHF', 'FFFF', 'FHHF', 'FFHG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
1,81,0,1.0,0.9733217421754432,"['SHFH', 'FHFF', 'FFFF', 'FHFG']"
1,68,0,1.0,0.8426049842298329,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'HHFF', 'HHFG']"
1,48,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'HHHF', 'HFFG']"
