Temperature,Simulations,Return,Discounted Return,Map
1,23,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,85,0,1.0,0.9674905716180701,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,3,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,29,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,60,0,1.0,0.7863441585589971,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFHF', 'HFHF', 'FFFF', 'HFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,56,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'HFFH', 'HHFG']"
1,30,0,0.0,0.0,"['SFHF', 'FHHH', 'FHHF', 'FFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,6,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,45,0,1.0,0.9056079456455165,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,89,0,1.0,0.7494371162085136,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,9,0,1.0,0.8527925358961662,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,49,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,58,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,41,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,18,0,1.0,0.7427123967299725,"['SFHF', 'FFFF', 'FFHF', 'HFHG']"
1,90,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'HHFF', 'HFFG']"
1,58,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,76,0,1.0,0.9056079456455165,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,59,0,1.0,0.9276389118674717,"['SFFF', 'FHHH', 'FFFF', 'HFFG']"
1,83,0,1.0,0.9502058312852957,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,59,0,1.0,0.8894287717672626,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,61,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHFH', 'HFFG']"
1,66,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
1,56,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HFFF', 'HFFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,83,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HFFG']"
1,26,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HHFF', 'FHFG']"
1,40,0,1.0,0.7562227231210928,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9416796087056153,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,42,0,1.0,0.9276389118674717,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FHFF', 'FHFG']"
1,86,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFHF', 'FHFG']"
1,90,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,53,0,1.0,0.8974819010978248,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,10,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,82,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,94,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,88,0,1.0,0.8788035596734672,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,88,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,30,0,1.0,0.8275513922024125,"['SFHH', 'FFHH', 'HFFH', 'FFFG']"
1,61,0,1.0,0.9165572373164391,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,59,0,1.0,0.8152123778407558,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,52,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFFF', 'FHFG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,34,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,50,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHHG']"
1,61,0,1.0,0.9332298921513504,"['SFFF', 'FFFF', 'HFHH', 'FFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'HFHH', 'FFFF', 'FHFG']"
1,86,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,86,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'HHHF', 'HHFG']"
1,26,0,1.0,0.8788035596734672,"['SFHH', 'HFFF', 'FHHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,82,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,39,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,63,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,69,0,1.0,0.9502058312852957,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,47,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,30,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,10,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,87,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,12,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,14,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'HFHF', 'FHHG']"
1,95,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,90,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HFFF', 'FHHG']"
