Temperature,Simulations,Return,Discounted Return,Map
1,65,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,21,0,1.0,0.8788035596734672,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,88,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFHF', 'FHHG']"
1,14,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,12,0,1.0,0.8867604854519608,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FHHF', 'HHHG']"
1,33,0,1.0,0.9193151828650342,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,79,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,52,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,40,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
1,41,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHFH', 'HHFG']"
1,54,0,1.0,0.9645880999032158,"['SHHF', 'FFFH', 'HFFH', 'FFFG']"
1,41,0,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,21,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHFG']"
1,99,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HFFG']"
1,98,0,1.0,0.9645880999032158,"['SHHF', 'FHHF', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HFFF', 'FHHG']"
1,97,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'FHFF', 'FHHG']"
1,81,0,1.0,0.93603800616986,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,85,0,1.0,0.9248559951318693,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,71,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'HFHG']"
1,47,0,1.0,0.9559328248389055,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFF', 'FFHG']"
1,57,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,59,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,46,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHH', 'FFFG']"
1,13,0,1.0,0.9001824484431542,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,76,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HFHG']"
1,36,0,1.0,0.93603800616986,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,71,0,1.0,0.8176653739626438,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,48,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,77,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,98,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,27,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,21,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFFF', 'HFFG']"
1,6,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,62,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,23,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FFFF', 'HHFG']"
1,84,0,1.0,0.9332298921513504,"['SFFH', 'HFHH', 'HFHF', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHHF', 'FFHG']"
1,94,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,4,0,1.0,0.9056079456455165,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,92,0,1.0,0.9821344612135428,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,45,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,35,0,1.0,0.8250687380258053,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,55,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,70,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'FFFF', 'FHFG']"
1,27,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.8127667407072335,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,62,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,57,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,63,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FHFH', 'FFFG']"
1,77,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,50,0,1.0,0.8325391341551359,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,40,0,1.0,0.8788035596734672,"['SHHH', 'FHHH', 'FFHH', 'HFFG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,50,0,1.0,0.9445131481500655,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,53,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,65,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'FHFG']"
1,56,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,37,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,98,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'FFHG']"
1,28,0,1.0,0.93603800616986,"['SFHH', 'FFFH', 'FHFF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHH', 'FFFG']"
1,23,0,1.0,0.7607805594527743,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,76,0,1.0,0.9473552137914398,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,65,0,1.0,0.9416796087056153,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,40,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
1,12,0,1.0,0.8657003616774767,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,57,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,92,0,1.0,0.9056079456455165,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
