Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,88,0,1.0,0.7722956964947572,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,67,0,1.0,0.9530650263643888,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,59,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'HHFH', 'HFFG']"
1,28,0,1.0,0.8814479033836181,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,31,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFHF', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9502058312852957,"['SHFH', 'FHHH', 'FFFF', 'FHFG']"
1,28,0,0.0,0.0,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9588092525966956,"['SHFF', 'FFHF', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,95,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,25,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HFHG']"
1,69,0,1.0,0.9733217421754432,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,30,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHHF', 'HHFG']"
1,48,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,29,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,38,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,12,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
