Temperature,Simulations,Return,Discounted Return,Map
1,94,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFFF', 'HFFG']"
1,93,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HHFF', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SFFH', 'HHFH', 'FHFF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HFFG']"
1,30,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,89,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,84,0,1.0,0.9165572373164391,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,97,0,1.0,0.9559328248389055,"['SHFF', 'FFHH', 'HFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,72,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'HHFG']"
1,26,0,1.0,0.8078974551636565,"['SHHF', 'FFHH', 'HFFH', 'FFFG']"
1,95,0,1.0,0.7746195551602378,"['SHHF', 'FHHH', 'FFFF', 'FHHG']"
1,75,0,1.0,0.9502058312852957,"['SHFF', 'FHHH', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FFFF', 'HFHG']"
1,45,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,28,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,74,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,5,0,1.0,0.8426049842298329,"['SFFH', 'HHFH', 'FHFF', 'HFFG']"
1,14,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FHFF', 'FFFG']"
1,59,0,1.0,0.9473552137914398,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,52,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,34,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,34,0,1.0,0.79346393184295,"['SFFH', 'HFHH', 'FFFH', 'HHFG']"
1,20,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,96,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHHG']"
1,26,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,42,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,27,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,90,0,1.0,0.837556937769312,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,88,0,1.0,0.8325391341551359,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'FFHG']"
1,54,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHFF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,28,0,1.0,0.9110661429076764,"['SFHF', 'FFHH', 'FFHF', 'FFFG']"
1,28,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FHHG']"
1,55,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SHFH', 'FHHH', 'FFFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,92,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,70,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,28,0,1.0,0.8709180316048211,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,68,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,53,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'HFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,95,0,1.0,0.9193151828650342,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,53,0,1.0,0.9332298921513504,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HHHF', 'FFFF', 'HHHG']"
1,46,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
1,40,0,1.0,0.8683052775100066,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,43,0,1.0,0.884100203995605,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,90,0,1.0,0.9559328248389055,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,22,0,0.0,0.0,"['SFFF', 'HHFF', 'FFFH', 'FHFG']"
1,30,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,51,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,69,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,21,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,32,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,42,0,1.0,0.9473552137914398,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFF', 'FFFG']"
1,24,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,98,0,1.0,0.9588092525966956,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,73,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,14,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HFFG']"
1,46,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHHG']"
1,94,0,1.0,0.9473552137914398,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,32,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,55,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FFHG']"
1,40,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,77,0,1.0,0.7887102894272789,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.835044266956004,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9056079456455165,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,71,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FFFF', 'HHFG']"
1,53,0,1.0,0.9616943356035061,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9416796087056153,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9110661429076764,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,46,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,26,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
