Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,94,0,1.0,0.8894287717672626,"['SHHF', 'FFHH', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9332298921513504,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,28,0,1.0,0.8527925358961662,"['SFHF', 'FFHF', 'FFHF', 'HFFG']"
1,61,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'HFFF', 'HHFG']"
1,42,0,1.0,0.884100203995605,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,93,0,1.0,0.9733217421754432,"['SHHF', 'FHFH', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9388545698794984,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,14,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,53,0,1.0,0.9110661429076764,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,76,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,96,0,1.0,0.9332298921513504,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9559328248389055,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'HFFG']"
1,91,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,7,0,1.0,0.7699788094052729,"['SFHF', 'HFHH', 'FFFF', 'FFFG']"
1,10,0,1.0,0.8400771692771434,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'HFFG']"
1,48,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHF', 'HFHH', 'FFFF', 'FFFG']"
1,93,0,1.0,0.9645880999032158,"['SHHH', 'FFHF', 'HFFH', 'HFFG']"
1,74,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,39,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,78,0,1.0,0.9530650263643888,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,26,0,1.0,0.7516921927868743,"['SFHH', 'HFFH', 'HFFF', 'HHFG']"
1,69,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,41,0,1.0,0.8947894553945313,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,49,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFFF', 'HHFG']"
1,78,0,1.0,0.9473552137914398,"['SFFF', 'HFHH', 'HFHH', 'HFFG']"
1,88,0,1.0,0.9502058312852957,"['SFFH', 'FFHH', 'HFFF', 'FFHG']"
1,78,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,21,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,11,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,92,0,1.0,0.9674905716180701,"['SFHH', 'FFFH', 'HHFF', 'FHFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,65,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,38,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'HHHG']"
1,76,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HFHF', 'FHFG']"
1,47,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHH', 'FFFG']"
1,38,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,81,0,1.0,0.9193151828650342,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,74,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,23,0,1.0,0.8103284404851119,"['SFFF', 'FFHF', 'FHHH', 'FFFG']"
1,63,0,1.0,0.93603800616986,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
