Temperature,Simulations,Return,Discounted Return,Map
1,14,0,1.0,0.8947894553945313,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,36,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
1,82,0,1.0,0.9110661429076764,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,76,0,1.0,0.9083329444789534,"['SFHF', 'FFFF', 'FFHF', 'HFHG']"
1,50,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,80,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,69,0,1.0,0.9762504936564125,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,49,0,1.0,0.8683052775100066,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,100,0,1.0,0.7607805594527743,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
1,34,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,37,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,76,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHH', 'FFFG']"
1,89,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,16,0,1.0,0.8814479033836181,"['SHHH', 'FHFF', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,13,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,94,0,1.0,0.9445131481500655,"['SFHH', 'FHFF', 'FFFF', 'HHHG']"
1,67,0,1.0,0.9502058312852957,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,47,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9588092525966956,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,61,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,47,0,1.0,0.9559328248389055,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,63,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,91,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,56,0,1.0,0.8788035596734672,"['SFHF', 'FFHF', 'HFFF', 'FHFG']"
1,31,0,1.0,0.8657003616774767,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,37,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,36,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,29,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,35,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHH', 'FFFG']"
1,67,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,73,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,51,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFH', 'HHFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FFFG']"
1,16,0,1.0,0.9056079456455165,"['SFFF', 'FHHF', 'FHFF', 'HFHG']"
1,71,0,1.0,0.7722956964947572,"['SFFH', 'HHFF', 'FFFH', 'HFFG']"
1,20,0,1.0,0.9276389118674717,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
