Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,78,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,48,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,97,0,1.0,0.9704017769489168,"['SFFF', 'HFHH', 'FFFH', 'FFFG']"
1,54,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'HHFG']"
1,93,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,81,0,1.0,0.8974819010978248,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,90,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHHF', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,36,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,74,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,43,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HHHF', 'FHHG']"
1,14,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'FHFG']"
1,87,0,1.0,0.9645880999032158,"['SFHF', 'FFHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.8974819010978248,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,30,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,79,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,72,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,68,0,1.0,0.9645880999032158,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FFHG']"
1,46,0,1.0,0.9388545698794984,"['SHHF', 'FHFH', 'FHHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,70,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,37,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,52,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,29,0,1.0,0.7653658663581259,"['SFHF', 'HFHF', 'HFFF', 'HHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.7722956964947572,"['SFHH', 'FHHF', 'FFFF', 'FHHG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,10,0,1.0,0.9559328248389055,"['SHHH', 'FHFF', 'FFFF', 'FFFG']"
1,40,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9416796087056153,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,23,0,1.0,0.9110661429076764,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,77,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,66,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,55,0,1.0,0.8451404054461714,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,81,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFF', 'FHHG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,65,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,99,0,1.0,0.9674905716180701,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,10,0,1.0,0.9110661429076764,"['SFFF', 'FFHF', 'HFFF', 'FFHG']"
