Temperature,Simulations,Return,Discounted Return,Map
1,80,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,49,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,67,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'FHFG']"
1,89,0,1.0,0.7516921927868743,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,84,0,1.0,0.9304302024748964,"['SHFH', 'FFFH', 'HFFF', 'FHHG']"
1,87,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFHH', 'HFFG']"
1,41,0,1.0,0.9110661429076764,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,61,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'HHFG']"
1,78,0,1.0,0.9791880578299021,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,93,0,1.0,0.9193151828650342,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,85,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFFF', 'FHHF', 'FHFF', 'FFHG']"
1,39,0,1.0,0.8814479033836181,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,87,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,39,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFHG']"
1,18,0,0.0,0.0,"['SFHF', 'FFHH', 'HFHH', 'HFFG']"
1,45,0,1.0,0.8974819010978248,"['SHHF', 'FFFH', 'HFHF', 'FFFG']"
1,60,0,1.0,0.776950406379376,"['SFFH', 'FHFF', 'FFFH', 'FHFG']"
1,59,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,71,0,1.0,0.985089730404757,"['SFFH', 'FHHF', 'FFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FFHG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,88,0,1.0,0.9821344612135428,"['SFHH', 'FHFF', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,14,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,36,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,77,0,1.0,0.8814479033836181,"['SHHH', 'FFHF', 'HFFF', 'FHHG']"
1,81,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
