Temperature,Simulations,Return,Discounted Return,Map
1,90,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,24,0,1.0,0.8400771692771434,"['SFFH', 'FFFF', 'FHHF', 'HHHG']"
1,49,0,1.0,0.9502058312852957,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,32,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,71,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFHF', 'FFHG']"
1,56,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,24,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,44,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'FFFG']"
1,62,0,1.0,0.7722956964947572,"['SFHF', 'HFFH', 'FHFF', 'HHHG']"
1,52,0,1.0,0.8657003616774767,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,54,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,91,0,1.0,0.9762504936564125,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,46,0,1.0,0.8947894553945313,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,18,0,1.0,0.9388545698794984,"['SFHH', 'FFHH', 'FFFF', 'HFFG']"
1,36,0,1.0,0.7746195551602378,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,26,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,61,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,64,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,62,0,1.0,0.7607805594527743,"['SHFF', 'FFHH', 'HFFF', 'FHFG']"
