Temperature,Simulations,Return,Discounted Return,Map
1,51,0,1.0,0.8201257512162927,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,18,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHFF', 'FFFG']"
1,50,0,1.0,0.90289112180858,"['SFFF', 'FHHF', 'FHHF', 'HFHG']"
1,65,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'HHFG']"
1,11,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,73,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,17,0,1.0,0.884100203995605,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,85,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,41,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,39,0,1.0,0.8103284404851119,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,98,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,32,0,1.0,0.9110661429076764,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,7,0,1.0,0.8761671489944468,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,42,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,39,0,1.0,0.9248559951318693,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFH', 'FHFG']"
1,95,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,32,0,1.0,0.9733217421754432,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,23,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,93,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
