Temperature,Simulations,Return,Discounted Return,Map
1,26,0,1.0,0.8683052775100066,"['SHFH', 'FFFH', 'HHFF', 'HFHG']"
1,78,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,15,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,90,0,1.0,0.93603800616986,"['SFHH', 'FFFF', 'FFFF', 'HFHG']"
1,57,0,1.0,0.9110661429076764,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHFF', 'FHFG']"
1,58,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FFFF', 'HFFG']"
1,81,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,27,0,1.0,0.90289112180858,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,47,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,65,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFHF', 'FFFG']"
1,44,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,74,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HHHF', 'HHHG']"
1,81,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,76,0,1.0,0.9332298921513504,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,43,0,1.0,0.9165572373164391,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,39,0,1.0,0.9473552137914398,"['SFFF', 'HFFF', 'HFFH', 'HFFG']"
1,67,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,21,0,1.0,0.9588092525966956,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,54,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,58,0,1.0,0.9616943356035061,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,62,0,1.0,0.9304302024748964,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,52,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,57,0,1.0,0.9193151828650342,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,17,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,89,0,1.0,0.9473552137914398,"['SFFF', 'HFHH', 'FFHF', 'FFFG']"
1,15,0,1.0,0.8709180316048211,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,78,0,1.0,0.8974819010978248,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,20,0,1.0,0.8867604854519608,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,68,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,35,0,1.0,0.835044266956004,"['SFFH', 'HFHF', 'FFHF', 'FFFG']"
1,27,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFH', 'FHFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,41,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'FFFF', 'HHHG']"
1,42,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,67,0,1.0,0.9165572373164391,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,77,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FHHF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,18,0,1.0,0.9165572373164391,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,27,0,0.0,0.0,"['SFHH', 'HFFH', 'HFHF', 'HFFG']"
1,59,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,19,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,6,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'HFFF', 'FHHG']"
1,62,0,1.0,0.9704017769489168,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,13,0,1.0,0.7607805594527743,"['SFFH', 'HFFH', 'FHFH', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,82,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,82,0,1.0,0.9733217421754432,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,58,0,1.0,0.90289112180858,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,95,0,1.0,0.9110661429076764,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,15,0,1.0,0.9276389118674717,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,31,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,59,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFHF', 'FHFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,91,0,1.0,0.8867604854519608,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,32,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,47,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'FHFG']"
1,49,0,1.0,0.884100203995605,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,64,0,1.0,0.9276389118674717,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,44,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'HFHF', 'HFFG']"
1,32,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,99,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,94,0,1.0,0.9502058312852957,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,72,0,1.0,0.9248559951318693,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,42,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
