Temperature,Simulations,Return,Discounted Return,Map
1,75,0,1.0,0.9674905716180701,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,38,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFF', 'FHFH', 'HFFG']"
1,94,0,1.0,0.8921050870283477,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'HFFG']"
1,90,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FFFH', 'FFFG']"
1,70,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9416796087056153,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,82,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,10,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,81,0,1.0,0.9733217421754432,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,64,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,57,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'FHHG']"
1,61,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFHH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHHF', 'HHHG']"
1,73,0,1.0,0.8683052775100066,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,49,0,1.0,0.8325391341551359,"['SFFF', 'HHFH', 'FHFF', 'HFHG']"
1,96,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,35,0,1.0,0.9001824484431542,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,69,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'HFHF', 'HFFH', 'HFFG']"
1,57,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFHF', 'FFFG']"
1,36,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFF', 'HFHG']"
1,21,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,39,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFF', 'HFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,13,0,0.0,0.0,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,22,0,1.0,0.8788035596734672,"['SFFH', 'HHFH', 'FHFH', 'HFFG']"
1,88,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,57,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHFG']"
1,86,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'HFHG']"
1,81,0,1.0,0.8947894553945313,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,61,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,59,0,1.0,0.9416796087056153,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,97,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FHHG']"
1,56,0,1.0,0.9165572373164391,"['SFFH', 'HFFH', 'FHFF', 'HFHG']"
1,46,0,1.0,0.9674905716180701,"['SFHF', 'HFHF', 'HFFF', 'HHFG']"
1,12,0,1.0,0.93603800616986,"['SFHF', 'FFHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.9645880999032158,"['SHFF', 'FFHH', 'FFFF', 'HHFG']"
1,89,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,24,0,1.0,0.8683052775100066,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,65,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
