Temperature,Map,Simulations,Return,Discounted Return
1,"['SFFFH', 'HFFFF', 'FHHFH', 'FHHFF', 'HFHHG']",87,1.0,0.8152123778407558
1,"['SFFFF', 'FFFFF', 'FFFHF', 'HHFFF', 'FFHFG']",58,1.0,0.8921050870283477
1,"['SFHHH', 'HFHFH', 'HFHHH', 'HFFHH', 'FHFFG']",71,0.0,0.0
1,"['SFFHF', 'FFFFF', 'FFHFF', 'FFFHF', 'FFFFG']",60,1.0,0.90289112180858
1,"['SFFFH', 'HHFFF', 'FFHHF', 'FFFFF', 'FHFHG']",80,1.0,0.9193151828650342
1,"['SFFFH', 'HFFFH', 'HHFFF', 'FHFFF', 'HHHHG']",88,1.0,0.9704017769489168
1,"['SFFFF', 'HHFFF', 'HHHFH', 'FHFFF', 'FHHHG']",3,0.0,0.0
1,"['SFFFF', 'FHHFF', 'FFFFF', 'FFHFF', 'FFHFG']",41,1.0,0.9645880999032158
1,"['SFFHF', 'HFHFH', 'HFFHF', 'HFFFH', 'HFFFG']",5,0.0,0.0
1,"['SFFFF', 'HFHFH', 'FFFFF', 'HFFFF', 'FFFFG']",74,1.0,0.9674905716180701
1,"['SHHHH', 'FFFHH', 'HHFFF', 'HHHHF', 'HHHHG']",38,0.0,0.0
1,"['SHHFH', 'FFHHH', 'HFFHH', 'HHFFH', 'HFHFG']",15,0.0,0.0
1,"['SHHFH', 'FHHHF', 'FHHHH', 'FFFHH', 'HHFFG']",13,0.0,0.0
1,"['SFFFH', 'HHFHF', 'HHFFH', 'FHHFF', 'HFFFG']",95,1.0,0.884100203995605
1,"['SFHHH', 'FHHFF', 'FFHHH', 'HFFFF', 'HHHHG']",89,0.0,0.0
1,"['SHFHF', 'FFHFH', 'FHFFH', 'FFFHH', 'FFFFG']",58,1.0,0.835044266956004
1,"['SFFFH', 'FFFFF', 'FFFHF', 'FFHHH', 'FFFFG']",19,0.0,0.0
1,"['SFFFF', 'FHFFF', 'FFFHF', 'FFFFF', 'FHHFG']",90,1.0,0.9502058312852957
1,"['SFFFF', 'HHHFF', 'HFFFH', 'FHHFF', 'FHHFG']",56,1.0,0.8127667407072335
1,"['SFFFF', 'FHFHH', 'FHFHH', 'FFFFF', 'FHHHG']",17,0.0,0.0
1,"['SFFFF', 'FFFFF', 'HFFFF', 'FFFFF', 'FFFFG']",51,1.0,0.9559328248389055
1,"['SFHFH', 'FFFFF', 'FHFFF', 'FFFFF', 'HFFHG']",47,0.0,0.0
1,"['SHFFF', 'FFFHF', 'FFHFF', 'HHFFH', 'HFHFG']",13,0.0,0.0
1,"['SFFFF', 'FFHFF', 'FFHFF', 'HFFFF', 'FFFFG']",62,1.0,0.9704017769489168
1,"['SFFFF', 'FFHHF', 'FFFFH', 'FFHFF', 'HFFFG']",94,1.0,0.8735386475474635
1,"['SFFFF', 'FHFFF', 'FFFFF', 'HFHFF', 'HFHHG']",68,1.0,0.9248559951318693
1,"['SFHFH', 'HFFFH', 'FHFFF', 'HFHHF', 'HFHFG']",30,0.0,0.0
1,"['SHHHH', 'FFHHF', 'HFFHH', 'HHFFH', 'FFHFG']",46,0.0,0.0
1,"['SFFFF', 'HFFHF', 'FHHHF', 'FFHFF', 'FHFHG']",27,1.0,0.8054737627981655
1,"['SFHHH', 'HFHHH', 'HFHFH', 'HFHHH', 'HFFFG']",22,0.0,0.0
1,"['SFFFF', 'FFFHF', 'FFFHF', 'HFFFF', 'HFFFG']",46,1.0,0.9645880999032158
1,"['SFHHF', 'FFHFH', 'HFHFH', 'FFFFF', 'FHFFG']",86,1.0,0.9645880999032158
1,"['SFFFF', 'FHFFH', 'FFHHF', 'FFFFH', 'HFFFG']",99,1.0,0.9332298921513504
1,"['SFHFF', 'FFFFF', 'FFFFF', 'FFFFF', 'FFFFG']",77,1.0,0.9791880578299021
1,"['SFFFH', 'HHFHF', 'HFFFH', 'HFHFF', 'FFFHG']",10,0.0,0.0
1,"['SHHFF', 'FFHFF', 'HFFFF', 'FFFFH', 'HFFFG']",57,0.0,0.0
1,"['SFHHH', 'HFHHH', 'HFFFH', 'HHHFH', 'HFHFG']",36,0.0,0.0
1,"['SFHFH', 'HFFFF', 'HFHFF', 'FHFHF', 'HFFFG']",80,0.0,0.0
1,"['SHFHH', 'FFFFH', 'HHHFF', 'HHHFF', 'FHHHG']",19,0.0,0.0
1,"['SHHHF', 'FHHHF', 'FFHHF', 'HFFFH', 'HHHFG']",21,0.0,0.0
1,"['SHFFF', 'FFFHH', 'HHFHH', 'FHFFH', 'HHHFG']",9,0.0,0.0
