Temperature,Map,Simulations,Return,Discounted Return
1,"['SFFH', 'HHFF', 'HHFH', 'HFFG']",97,1.0,0.9388545698794984
1,"['SFFF', 'FFFF', 'FHFF', 'FHFG']",88,1.0,0.9645880999032158
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",84,1.0,0.884100203995605
1,"['SFHH', 'FFFH', 'FFHH', 'HFFG']",30,0.0,0.0
1,"['SFHH', 'HFFH', 'HHFH', 'HFFG']",61,1.0,0.9276389118674717
1,"['SFFF', 'FHFF', 'FFFF', 'FFFG']",46,1.0,0.9821344612135428
1,"['SFFF', 'FFFF', 'FFFF', 'FHFG']",53,1.0,0.9791880578299021
1,"['SHHF', 'FFFF', 'HHFF', 'FHHG']",4,0.0,0.0
1,"['SFHH', 'HFFH', 'HHFF', 'FHHG']",16,0.0,0.0
1,"['SHHH', 'FFHF', 'FFHF', 'HFFG']",46,1.0,0.9559328248389055
1,"['SFHF', 'FFHF', 'FFFF', 'FFFG']",37,1.0,0.9821344612135428
1,"['SHHH', 'FHHH', 'FFHH', 'HFFG']",51,1.0,0.9645880999032158
1,"['SHFF', 'FHHF', 'FFFH', 'FFFG']",25,1.0,0.9416796087056153
1,"['SFHH', 'FHFF', 'FFFF', 'HHHG']",64,1.0,0.9733217421754432
1,"['SFFF', 'FFHF', 'FFFF', 'FFFG']",68,1.0,0.9762504936564125
1,"['SFFH', 'FFHF', 'FFHF', 'FFFG']",83,1.0,0.9821344612135428
1,"['SFFH', 'FHHF', 'FHHF', 'FFFG']",96,1.0,0.93603800616986
1,"['SFHH', 'HFFH', 'HHFH', 'HHFG']",23,0.0,0.0
1,"['SFHF', 'FFFH', 'HHFH', 'HFFG']",74,1.0,0.9645880999032158
1,"['SFFF', 'HFHF', 'FFFF', 'FFFG']",40,1.0,0.9332298921513504
1,"['SFFF', 'FFFF', 'FHFH', 'FFFG']",29,1.0,0.7910835400474212
1,"['SFHH', 'FHFF', 'FHHH', 'FFFG']",83,1.0,0.8974819010978248
1,"['SHHH', 'FFFF', 'HFFF', 'HHHG']",60,1.0,0.9530650263643888
1,"['SHHF', 'FHFH', 'FHFF', 'FFFG']",78,1.0,0.9248559951318693
1,"['SFFF', 'FFHH', 'FFFF', 'FHHG']",35,0.0,0.0
1,"['SFFF', 'FFHF', 'HHFF', 'HFFG']",54,1.0,0.9791880578299021
1,"['SFHH', 'FFHH', 'HFFH', 'HHFG']",67,1.0,0.90289112180858
1,"['SHFF', 'FFFF', 'FFFF', 'FFFG']",63,1.0,0.985089730404757
1,"['SFFF', 'FFFF', 'FFFF', 'HFFG']",84,1.0,0.985089730404757
1,"['SFFF', 'FFFF', 'FFFF', 'HFFG']",85,1.0,0.985089730404757
1,"['SFHH', 'FHHF', 'FFFH', 'FHFG']",80,0.0,0.0
1,"['SFFF', 'HHHF', 'HHHF', 'HHHG']",5,0.0,0.0
1,"['SHFF', 'FFHF', 'FFFF', 'FFFG']",88,1.0,0.985089730404757
1,"['SHHH', 'FFFH', 'HHFH', 'HHFG']",67,1.0,0.8657003616774767
1,"['SFFF', 'FFFF', 'FFFF', 'FFFG']",93,1.0,0.9821344612135428
1,"['SFFF', 'FHFH', 'FHFF', 'FFFG']",26,1.0,0.9791880578299021
1,"['SFFF', 'FFFF', 'FFHH', 'FFFG']",83,1.0,0.985089730404757
1,"['SFFH', 'FHFF', 'FFFF', 'FFFG']",14,1.0,0.9588092525966956
1,"['SFFF', 'HFHF', 'FHHF', 'FHFG']",95,1.0,0.9588092525966956
1,"['SFFF', 'FHFF', 'FHHF', 'FFFG']",54,1.0,0.9616943356035061
1,"['SFHH', 'HFFH', 'FFHH', 'HFFG']",36,1.0,0.7958514863018556
1,"['SFFH', 'FFHH', 'FFFH', 'HFFG']",54,1.0,0.9473552137914398
1,"['SHHF', 'FFHH', 'HFFH', 'HHFG']",70,0.0,0.0
1,"['SFHF', 'HFFF', 'FFFF', 'FFHG']",24,1.0,0.90289112180858
1,"['SHHH', 'FFFF', 'FHHF', 'HFHG']",82,1.0,0.9791880578299021
