Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFFF', 'FFFH', 'HHFF', 'FFHG']",81,10,1.0,0.997
1,"['SFFF', 'HHFF', 'FHHF', 'FHHG']",30,2,1.0,0.991026973
1,"['SHHH', 'FHHH', 'FHHH', 'FFFG']",36,4,1.0,0.9165572373164391
1,"['SHHH', 'FHHF', 'FFHH', 'HFFG']",90,13,1.0,0.997
1,"['SHHH', 'FFFH', 'HHFH', 'HHFG']",53,5,0.0,0.0
1,"['SHHH', 'FFHH', 'HFFH', 'FFFG']",60,4,1.0,0.9821344612135428
1,"['SFFH', 'FHFF', 'HHFF', 'FFHG']",3,10,1.0,0.985089730404757
1,"['SFFF', 'FHFF', 'HFFF', 'FFFG']",68,13,1.0,0.997
1,"['SHHH', 'FFFH', 'HFFF', 'HHFG']",6,14,1.0,1.0
1,"['SHHF', 'FHFH', 'FFHH', 'HFFG']",28,8,0.0,0.0
1,"['SHFH', 'FFHH', 'FFFF', 'HHHG']",39,2,0.0,0.0
1,"['SFFH', 'HFFH', 'HFHH', 'HFFG']",30,5,0.0,0.0
1,"['SHFF', 'FFHF', 'FFFF', 'HHHG']",30,0,0.0,0.0
1,"['SHFH', 'FFFF', 'HHFF', 'FHFG']",15,6,1.0,0.994009
1,"['SHFH', 'FFFF', 'HHHF', 'FHFG']",25,11,1.0,1.0
1,"['SFHF', 'FFFF', 'HHFF', 'HFHG']",57,5,1.0,0.991026973
1,"['SHFH', 'FFHF', 'FFFH', 'FHFG']",2,4,0.0,0.0
1,"['SFFF', 'HHHF', 'FHHF', 'HHFG']",4,8,0.0,0.0
1,"['SFFF', 'FHFH', 'HFFH', 'HHFG']",27,6,1.0,0.994009
1,"['SFFH', 'HFFH', 'HHFF', 'HHHG']",21,0,1.0,0.9416796087056153
1,"['SFHH', 'HFFH', 'HHFF', 'HHHG']",88,11,1.0,1.0
1,"['SFHF', 'FHFH', 'FFFH', 'HFFG']",40,1,1.0,0.78398512608332
1,"['SFFH', 'FFFF', 'FHFF', 'HHHG']",29,2,1.0,0.8325391341551359
1,"['SFFF', 'HHFF', 'HHHF', 'FHFG']",44,1,1.0,0.988053892081
1,"['SFFH', 'HFFF', 'FHFF', 'FFHG']",5,6,1.0,0.7958514863018556
1,"['SFFF', 'HHFF', 'FHFF', 'FHFG']",10,11,1.0,1.0
1,"['SFFF', 'HHFF', 'HFHF', 'FFFG']",36,13,1.0,0.997
1,"['SFFH', 'FFFF', 'HHHF', 'FFFG']",92,5,1.0,0.991026973
1,"['SFHH', 'FHHH', 'FFHF', 'HFFG']",35,13,1.0,0.997
1,"['SHHH', 'FFFF', 'FFFF', 'HFHG']",56,7,1.0,0.997
1,"['SHHF', 'FFHH', 'HFFH', 'HFFG']",34,5,1.0,0.991026973
1,"['SFHH', 'FFFH', 'HFFF', 'FFFG']",30,9,1.0,0.994009
1,"['SFFH', 'HHFH', 'FHFF', 'HFHG']",74,10,1.0,0.997
1,"['SFHH', 'HFFH', 'HFFF', 'HFHG']",57,11,1.0,1.0
1,"['SFHH', 'HFHF', 'FFFF', 'HHFG']",45,9,1.0,0.994009
1,"['SFFF', 'FHHF', 'HFHF', 'FFFG']",13,13,1.0,0.997
1,"['SFFF', 'FHHF', 'FFFF', 'FFFG']",20,3,1.0,0.994009
1,"['SFFH', 'FFFF', 'HFHF', 'HHFG']",62,2,1.0,0.9165572373164391
1,"['SFFH', 'HFFF', 'HFHF', 'HHHG']",95,7,1.0,0.997
1,"['SFFH', 'HHFH', 'HHFF', 'HHFG']",47,0,1.0,0.9332298921513504
1,"['SFFH', 'FHFF', 'HHHF', 'HFHG']",63,2,1.0,0.985089730404757
1,"['SHFF', 'FFHH', 'FFFH', 'FHFG']",100,4,1.0,0.9821344612135428
1,"['SFFH', 'HFFF', 'FHHF', 'FFFG']",70,5,1.0,0.9821344612135428
1,"['SHHH', 'FFHH', 'HFFF', 'HHHG']",69,10,1.0,0.997
1,"['SFHH', 'FFFH', 'FFHF', 'FFFG']",83,8,1.0,0.991026973
1,"['SFHH', 'FHHH', 'FFFF', 'HHHG']",14,11,1.0,1.0
1,"['SFFF', 'FFFF', 'FFFF', 'HFFG']",22,3,1.0,0.985089730404757
1,"['SFHF', 'FFFH', 'FHFH', 'HFFG']",61,8,1.0,0.8761671489944468
1,"['SHHH', 'FHFF', 'FFFF', 'FFFG']",69,11,1.0,1.0
1,"['SHHH', 'FFFF', 'FHHF', 'FHHG']",35,0,0.0,0.0
1,"['SFHH', 'HFFF', 'HHFH', 'HFFG']",39,14,1.0,1.0
1,"['SFFF', 'FFHF', 'HHFF', 'HFFG']",18,3,1.0,0.9821344612135428
1,"['SFFH', 'HHFH', 'FHFF', 'FHHG']",18,10,1.0,0.997
1,"['SFFF', 'HFHF', 'FFFF', 'HFFG']",95,14,1.0,1.0
1,"['SFFF', 'FFFF', 'FHFF', 'HHFG']",100,2,1.0,0.985089730404757
1,"['SFFF', 'HFFH', 'FFFH', 'HFFG']",34,13,1.0,0.997
1,"['SFFF', 'HFFF', 'FFFF', 'FHFG']",39,7,1.0,0.997
1,"['SFFH', 'HFFH', 'HHFH', 'FHFG']",36,6,1.0,0.994009
1,"['SFHH', 'HFFF', 'HHFF', 'HFFG']",41,6,1.0,0.994009
1,"['SFFF', 'HFHF', 'FHHF', 'HHFG']",61,3,1.0,0.994009
1,"['SFHF', 'FFHF', 'HFHF', 'HFFG']",52,7,1.0,0.997
1,"['SFFF', 'HFHF', 'FHHF', 'FFFG']",49,12,1.0,0.994009
1,"['SFFF', 'FFHF', 'HFHF', 'HHFG']",71,4,1.0,0.9248559951318693
1,"['SFHH', 'HFFF', 'FFHF', 'HFHG']",28,5,1.0,0.8176653739626438
1,"['SFFH', 'HHFF', 'HHHF', 'FHHG']",94,11,1.0,1.0
1,"['SHHH', 'FHHH', 'FFFF', 'FHHG']",36,10,1.0,0.997
1,"['SFHH', 'FFFH', 'HFHH', 'FFFG']",66,12,1.0,0.994009
1,"['SFHH', 'HFFF', 'HHHF', 'HHHG']",1,6,0.0,0.0
1,"['SHHF', 'FHHH', 'FHFH', 'FFFG']",40,13,1.0,0.997
1,"['SHFH', 'FFFH', 'HHFF', 'HHHG']",21,6,1.0,0.994009
1,"['SHHH', 'FFFH', 'FFFF', 'FHFG']",56,0,1.0,0.9762504936564125
1,"['SHFF', 'FFFF', 'HFFF', 'FFFG']",15,5,1.0,0.991026973
1,"['SHHF', 'FFHH', 'HFHF', 'HFFG']",95,0,1.0,0.9193151828650342
1,"['SFFF', 'HFFH', 'HFFF', 'FHHG']",43,9,1.0,0.994009
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",23,6,0.0,0.0
1,"['SHFF', 'FFFH', 'FFFH', 'FHFG']",13,6,1.0,0.9821344612135428
1,"['SFHF', 'HFFF', 'FHFH', 'HHFG']",62,3,1.0,0.8735386475474635
1,"['SFFF', 'FHFH', 'HHFF', 'FFFG']",23,0,0.0,0.0
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",95,5,1.0,0.8974819010978248
1,"['SHHF', 'FFFF', 'HHHF', 'FHFG']",75,3,1.0,0.994009
1,"['SFHF', 'HFFH', 'HHFF', 'HHHG']",59,3,0.0,0.0
1,"['SHFH', 'FFFH', 'FFFF', 'FHFG']",98,11,1.0,1.0
1,"['SFHH', 'HFFH', 'FFFF', 'FFHG']",43,11,1.0,1.0
1,"['SFFF', 'HFHF', 'HHHF', 'FFHG']",14,0,1.0,0.9791880578299021
1,"['SHHH', 'FFFH', 'HHFF', 'HHHG']",41,11,1.0,1.0
1,"['SFFF', 'FFHH', 'HFFH', 'HHFG']",13,9,0.0,0.0
1,"['SFFH', 'FHFH', 'HFFF', 'HHHG']",82,6,1.0,0.994009
1,"['SFHH', 'FHHF', 'FFFH', 'HHFG']",93,1,0.0,0.0
1,"['SHHF', 'FHFH', 'FHHH', 'FFFG']",11,6,0.0,0.0
1,"['SFHH', 'FFFH', 'HFHH', 'FFFG']",79,4,1.0,0.9674905716180701
1,"['SFFH', 'HFFH', 'FFFF', 'HFFG']",32,6,1.0,0.988053892081
1,"['SHFH', 'FFHF', 'HFFH', 'HHFG']",87,14,1.0,1.0
1,"['SFFH', 'HFFH', 'HHFF', 'HFHG']",76,1,1.0,0.9674905716180701
1,"['SFHH', 'FFFH', 'HFFH', 'HHFG']",32,4,1.0,0.8176653739626438
1,"['SHHH', 'FFHH', 'HFFH', 'HHFG']",77,0,0.0,0.0
