Temperature,Map,Simulations,Return,Discounted Return
1,"['SFHHF', 'FFFFF', 'FHHHF', 'FFHHF', 'HHHHG']",79,0.0,0.0
1,"['SHHHH', 'FFHHF', 'HFHFF', 'HFFHF', 'HHFFG']",70,0.0,0.0
1,"['SFHHH', 'FHHHF', 'FHHHF', 'FFFHH', 'FHFFG']",100,0.0,0.0
1,"['SHFHH', 'FHHHH', 'FHHHH', 'FFFHH', 'HHFFG']",87,0.0,0.0
1,"['SHHFF', 'FFFFF', 'HHHHF', 'FFFFF', 'HFHHG']",90,0.0,0.0
1,"['SHHHH', 'FHHFH', 'FHHHH', 'FFFFH', 'HHFFG']",48,0.0,0.0
1,"['SHHFF', 'FFHFF', 'HFFHH', 'HFHHH', 'FFFFG']",60,0.0,0.0
1,"['SFHHH', 'HFFFH', 'HHFFF', 'FHHHF', 'HHHFG']",21,0.0,0.0
1,"['SHHHH', 'FFHHH', 'FFFHH', 'HFFFH', 'HHHFG']",34,0.0,0.0
1,"['SFFHF', 'HFFHF', 'FHFFF', 'HFHFF', 'FFFFG']",3,0.0,0.0
1,"['SFFFF', 'HFFFF', 'HHHFF', 'HFHHF', 'HHFFG']",81,1.0,0.9674905716180701
1,"['SFFFF', 'FHFFH', 'FHFFF', 'FHFFF', 'HFHFG']",44,1.0,0.9704017769489168
1,"['SFFFH', 'HHHFF', 'HHFFH', 'FHHFH', 'HHHFG']",57,0.0,0.0
1,"['SFFFF', 'FFFFH', 'FFFFF', 'FHHHF', 'FFHFG']",57,1.0,0.8426049842298329
1,"['SFHHH', 'HFFFF', 'HHFHF', 'HHHHF', 'HFHHG']",21,0.0,0.0
1,"['SFFHH', 'HHFHF', 'HHFFF', 'HHFFF', 'FHHHG']",51,1.0,0.8400771692771434
1,"['SHFHH', 'FFFHF', 'HHFFF', 'FFHFF', 'HFFHG']",63,0.0,0.0
1,"['SFFFF', 'HHHHF', 'HHHHF', 'FHHHF', 'HHHHG']",42,1.0,0.8788035596734672
1,"['SFFFH', 'FHFHH', 'FFFHH', 'HHFFF', 'HHHHG']",37,0.0,0.0
1,"['SFFHH', 'FHFHF', 'HHFFF', 'HHFHH', 'HHFFG']",54,0.0,0.0
1,"['SHHFH', 'FFHFF', 'HFFHH', 'FHFFF', 'HHHFG']",3,0.0,0.0
1,"['SHHHH', 'FHHHH', 'FFHHH', 'FFHHF', 'HFFFG']",66,0.0,0.0
1,"['SFHHH', 'FFHHH', 'HFHHH', 'FFHHH', 'FFFFG']",32,0.0,0.0
1,"['SFHHH', 'HFFFF', 'HFFFF', 'HFHHH', 'FFFFG']",15,0.0,0.0
1,"['SFHFH', 'HFHHH', 'HFHHH', 'HFFFF', 'FHHHG']",11,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFF', 'FFFFF', 'FFFFG']",34,1.0,0.9674905716180701
1,"['SHHHF', 'FFFHF', 'HFFHH', 'HFHHF', 'HFFFG']",87,0.0,0.0
1,"['SFFHF', 'FHHHF', 'FFFFH', 'FFFFF', 'FFFHG']",85,0.0,0.0
1,"['SHHHH', 'FHHHH', 'FFFFH', 'FHHFF', 'FFFHG']",44,0.0,0.0
1,"['SFFHF', 'FFFFF', 'FFFFF', 'FFFFF', 'FFFFG']",31,1.0,0.9276389118674717
1,"['SFFFH', 'FFFFF', 'HFFFF', 'HHFFH', 'FHHFG']",3,0.0,0.0
1,"['SHFHH', 'FHHHH', 'FHHHH', 'FFFFF', 'HHHHG']",60,0.0,0.0
1,"['SFFHH', 'FHFFF', 'FHHHF', 'HFHHF', 'FFFFG']",22,0.0,0.0
1,"['SHFFH', 'FFHHF', 'FFHFH', 'HFFFF', 'HFFHG']",28,0.0,0.0
1,"['SHFFF', 'FFHHH', 'HFHHF', 'FFFFF', 'HFFHG']",35,0.0,0.0
1,"['SFFHF', 'HFFHH', 'FHFFH', 'HHHFF', 'HHFHG']",8,0.0,0.0
1,"['SHHHF', 'FFHHH', 'FFFFH', 'FFHFH', 'HHHFG']",10,0.0,0.0
1,"['SHFFF', 'FHFFF', 'FHFHF', 'FFFHF', 'FFFFG']",62,1.0,0.8894287717672626
