Temperature,Simulations,Return
1,2,38.0
1,2,412.0
1,1,9.0
1,2,203.0
1,2,331.0
1,1,10.0
1,2,400.0
1,1,10.0
1,1,10.0
1,1,10.0
1,2,498.0
1,1,10.0
1,1,9.0
1,1,9.0
1,2,207.0
1,2,180.0
1,1,9.0
1,2,292.0
1,1,9.0
1,2,246.0
1,2,347.0
1,2,495.0
1,2,225.0
1,1,10.0
1,1,9.0
1,2,243.0
1,1,8.0
1,1,10.0
1,1,10.0
1,2,431.0
1,1,9.0
1,1,9.0
1,2,23.0
1,1,10.0
1,1,9.0
1,2,135.0
1,1,10.0
1,2,500.0
1,1,8.0
1,1,9.0
1,1,10.0
1,1,10.0
1,1,10.0
1,2,329.0
1,1,9.0
1,2,232.0
1,2,127.0
1,1,10.0
1,2,218.0
1,2,373.0
1,1,10.0
1,1,11.0
1,1,9.0
1,2,358.0
1,1,9.0
1,2,272.0
1,1,10.0
1,2,165.0
1,1,10.0
1,1,10.0
1,2,396.0
1,1,9.0
1,2,283.0
1,2,157.0
1,1,9.0
1,1,9.0
1,2,500.0
1,2,167.0
1,2,114.0
1,2,141.0
1,1,10.0
1,1,10.0
1,1,8.0
1,1,10.0
1,2,367.0
1,2,145.0
1,2,363.0
1,2,187.0
1,2,239.0
1,2,250.0
1,2,190.0
1,1,10.0
1,1,8.0
1,2,140.0
1,2,355.0
1,1,10.0
1,1,9.0
1,2,71.0
1,2,217.0
1,2,140.0
1,2,417.0
1,2,167.0
1,1,10.0
1,1,9.0
1,1,9.0
1,1,9.0
1,1,10.0
1,1,9.0
1,1,9.0
1,2,187.0
1,1,10.0
1,1,10.0
1,1,10.0
1,1,8.0
1,1,10.0
1,2,93.0
1,1,9.0
1,2,232.0
1,1,11.0
1,1,9.0
1,1,10.0
1,2,366.0
1,2,383.0
1,1,9.0
1,2,257.0
1,1,9.0
1,2,160.0
1,1,10.0
1,1,10.0
1,2,262.0
1,1,10.0
1,2,166.0
1,1,8.0
1,1,9.0
1,2,278.0
1,2,136.0
1,1,8.0
1,2,39.0
1,1,8.0
1,2,213.0
1,2,296.0
1,1,9.0
1,2,240.0
1,1,9.0
1,2,280.0
1,1,10.0
1,2,234.0
1,2,252.0
1,1,10.0
1,1,10.0
1,2,195.0
1,2,341.0
1,1,9.0
1,1,10.0
1,1,10.0
1,1,10.0
1,2,266.0
1,2,305.0
1,1,10.0
1,1,9.0
1,2,221.0
1,1,9.0
1,1,10.0
1,1,10.0
1,2,150.0
1,1,8.0
1,2,301.0
1,2,218.0
1,1,10.0
1,1,9.0
1,1,10.0
1,2,170.0
1,1,10.0
1,1,9.0
1,2,247.0
1,1,10.0
1,2,500.0
1,2,444.0
1,1,9.0
1,1,9.0
1,1,9.0
1,2,369.0
1,1,8.0
1,2,162.0
1,1,9.0
1,1,11.0
1,1,9.0
1,1,9.0
1,1,10.0
1,2,237.0
1,1,10.0
1,1,9.0
1,1,10.0
1,1,9.0
1,1,9.0
1,1,11.0
1,2,165.0
1,2,178.0
1,2,236.0
1,2,298.0
1,2,92.0
1,2,36.0
1,2,102.0
1,2,161.0
1,1,10.0
1,1,8.0
1,1,9.0
1,2,343.0
1,2,494.0
1,1,9.0
1,1,9.0
1,1,10.0
1,1,10.0
1,1,10.0
1,1,10.0
1,1,9.0
1,2,259.0
1,1,9.0
1,1,9.0
1,1,11.0
1,2,135.0
1,2,175.0
1,2,280.0
1,1,9.0
1,2,168.0
1,2,216.0
1,2,367.0
1,2,258.0
1,2,283.0
1,1,10.0
1,1,10.0
1,2,148.0
1,1,10.0
1,1,10.0
1,1,9.0
1,2,225.0
1,2,147.0
1,1,10.0
1,1,9.0
1,1,10.0
1,2,291.0
1,2,135.0
1,1,10.0
1,1,10.0
1,2,148.0
1,2,197.0
1,2,230.0
1,2,454.0
1,2,500.0
1,1,9.0
1,1,10.0
1,2,126.0
1,2,168.0
1,1,9.0
1,1,8.0
1,1,10.0
1,1,10.0
1,1,10.0
1,2,150.0
1,1,10.0
1,1,10.0
1,2,194.0
1,1,9.0
1,1,9.0
1,2,291.0
1,1,10.0
1,2,23.0
1,2,86.0
1,1,9.0
1,1,8.0
1,1,10.0
1,1,10.0
1,1,8.0
1,1,10.0
1,2,200.0
1,1,9.0
1,2,36.0
1,1,8.0
1,2,294.0
1,2,477.0
1,2,210.0
1,2,417.0
1,1,9.0
1,1,9.0
1,2,409.0
1,1,9.0
1,2,104.0
1,2,325.0
1,2,197.0
1,1,10.0
1,2,145.0
1,2,22.0
1,2,198.0
1,1,10.0
1,2,157.0
1,1,10.0
1,1,10.0
1,1,10.0
1,1,9.0
1,2,285.0
1,2,46.0
1,1,9.0
1,1,10.0
1,2,143.0
1,1,10.0
1,2,142.0
1,1,10.0
1,2,174.0
1,2,200.0
1,2,183.0
