Temperature,Simulations,Return
1,8,308.0
1,1,9.0
1,2,222.0
1,15,324.0
1,8,173.0
1,3,212.0
1,3,218.0
1,2,192.0
1,1,10.0
1,11,183.0
1,12,356.0
1,6,247.0
1,12,279.0
1,4,197.0
1,9,259.0
1,1,9.0
1,10,500.0
1,5,500.0
1,1,10.0
1,5,169.0
1,10,500.0
1,2,231.0
1,9,238.0
1,1,9.0
1,8,500.0
1,16,500.0
1,7,500.0
1,4,500.0
1,4,250.0
1,5,344.0
1,15,237.0
1,13,260.0
1,10,495.0
1,15,268.0
1,13,445.0
1,15,198.0
1,16,257.0
1,5,191.0
1,14,296.0
1,5,500.0
1,1,10.0
1,6,193.0
1,7,363.0
1,6,491.0
1,16,295.0
1,5,210.0
1,13,223.0
1,1,10.0
1,12,240.0
1,10,500.0
1,11,220.0
1,10,332.0
1,15,294.0
1,10,500.0
1,9,340.0
1,15,253.0
1,5,500.0
1,7,403.0
1,3,397.0
1,1,10.0
1,10,260.0
1,6,487.0
1,7,181.0
1,7,500.0
1,9,228.0
1,10,291.0
1,13,414.0
1,12,500.0
1,9,238.0
1,2,406.0
1,12,447.0
1,10,303.0
1,8,205.0
1,15,278.0
1,11,500.0
1,7,294.0
1,16,500.0
1,10,381.0
1,1,10.0
1,13,463.0
1,5,169.0
1,14,500.0
1,11,181.0
1,8,500.0
1,6,356.0
1,7,427.0
1,14,500.0
1,9,500.0
1,6,174.0
1,8,500.0
1,1,9.0
1,4,273.0
1,15,500.0
1,4,235.0
1,1,10.0
1,14,466.0
1,15,251.0
1,15,271.0
1,4,158.0
1,1,9.0
