Temperature,Simulations,Return
1,2,194.0
1,1,9.0
1,5,260.0
1,7,189.0
1,2,282.0
1,2,267.0
1,11,316.0
1,13,500.0
1,1,10.0
1,10,290.0
1,10,201.0
1,4,500.0
1,4,321.0
1,4,297.0
1,14,336.0
1,12,214.0
1,6,192.0
1,3,311.0
1,11,148.0
1,7,284.0
1,12,500.0
1,1,9.0
1,16,500.0
1,1,9.0
1,13,186.0
1,10,500.0
1,2,194.0
1,1,9.0
1,1,8.0
1,8,214.0
1,10,225.0
1,2,500.0
1,11,199.0
1,3,324.0
1,9,222.0
1,11,216.0
1,1,10.0
1,10,381.0
1,9,500.0
1,15,254.0
1,9,326.0
1,1,9.0
1,5,211.0
1,10,240.0
1,7,447.0
1,2,202.0
1,11,280.0
1,4,199.0
1,11,317.0
1,5,320.0
1,2,242.0
1,14,408.0
1,5,158.0
1,5,364.0
1,14,417.0
1,16,290.0
1,3,280.0
1,12,176.0
1,4,350.0
1,4,500.0
1,14,500.0
1,1,10.0
1,13,500.0
1,7,298.0
1,16,344.0
1,16,191.0
1,4,500.0
1,6,398.0
1,5,500.0
1,8,500.0
1,14,462.0
1,4,333.0
1,7,500.0
1,9,176.0
1,13,336.0
1,1,8.0
1,13,354.0
1,13,224.0
1,1,9.0
1,5,500.0
1,7,195.0
1,13,415.0
1,15,348.0
1,13,500.0
1,6,265.0
1,13,444.0
1,5,328.0
1,4,286.0
1,14,210.0
1,7,162.0
1,13,295.0
1,1,10.0
1,3,442.0
1,8,325.0
1,9,249.0
1,1,8.0
1,1,10.0
1,4,436.0
1,4,197.0
1,1,9.0
