Temperature,Simulations,Return
1,10,309.0
1,11,320.0
1,1,10.0
1,11,308.0
1,13,279.0
1,10,464.0
1,10,281.0
1,1,10.0
1,15,442.0
1,11,292.0
1,6,500.0
1,13,291.0
1,5,221.0
1,1,10.0
1,9,500.0
1,1,9.0
1,5,340.0
1,6,257.0
1,12,253.0
1,1,10.0
1,13,212.0
1,7,500.0
1,4,178.0
1,3,247.0
1,9,500.0
1,3,307.0
1,15,315.0
1,8,500.0
1,16,311.0
1,10,316.0
1,8,468.0
1,6,500.0
1,8,320.0
1,11,437.0
1,1,10.0
1,6,370.0
1,7,486.0
1,1,9.0
1,13,265.0
1,2,13.0
1,8,409.0
1,3,500.0
1,9,228.0
1,2,455.0
1,2,181.0
1,3,317.0
1,8,500.0
1,10,462.0
1,11,350.0
1,14,261.0
1,5,308.0
1,5,488.0
1,12,306.0
1,13,160.0
1,14,224.0
1,13,252.0
1,7,363.0
1,1,10.0
1,2,209.0
1,6,364.0
1,15,307.0
1,6,264.0
1,4,427.0
1,12,187.0
1,9,161.0
1,8,230.0
1,10,415.0
1,9,500.0
1,2,203.0
1,14,217.0
1,14,500.0
1,6,288.0
1,5,487.0
1,6,166.0
1,3,298.0
1,9,347.0
1,16,462.0
1,14,189.0
1,4,500.0
1,12,175.0
1,1,9.0
1,7,372.0
1,12,225.0
1,1,10.0
1,10,419.0
1,10,421.0
1,7,500.0
1,9,242.0
1,5,414.0
1,3,308.0
1,2,177.0
1,14,363.0
1,14,271.0
1,2,500.0
1,15,360.0
1,6,427.0
1,10,274.0
1,12,275.0
1,13,287.0
1,14,266.0
