Temperature,Simulations,Return
1,16,270.0
1,16,405.0
1,2,298.0
1,8,500.0
1,13,258.0
1,14,363.0
1,12,251.0
1,2,150.0
1,14,500.0
1,13,282.0
1,7,434.0
1,2,362.0
1,16,253.0
1,7,418.0
1,16,364.0
1,9,456.0
1,4,401.0
1,2,367.0
1,16,500.0
1,12,185.0
1,9,265.0
1,4,362.0
1,5,293.0
1,6,416.0
1,9,319.0
1,5,293.0
1,4,225.0
1,8,500.0
1,3,136.0
1,2,174.0
1,6,178.0
1,6,345.0
1,11,264.0
1,14,337.0
1,14,337.0
1,8,168.0
1,14,166.0
1,16,328.0
1,8,219.0
1,5,500.0
1,4,310.0
1,7,237.0
1,3,266.0
1,4,200.0
1,9,259.0
1,16,267.0
1,15,293.0
1,11,252.0
1,14,212.0
1,13,339.0
1,12,500.0
1,10,500.0
1,13,384.0
1,4,236.0
1,1,10.0
1,5,292.0
1,9,288.0
1,12,500.0
1,9,334.0
1,10,207.0
1,9,336.0
1,8,500.0
1,7,444.0
1,2,126.0
1,15,240.0
1,15,247.0
1,16,246.0
1,16,242.0
1,4,238.0
1,7,500.0
1,13,500.0
1,7,229.0
1,11,498.0
1,13,390.0
1,3,234.0
1,11,500.0
1,15,500.0
1,10,500.0
1,8,264.0
1,16,434.0
1,15,320.0
1,6,314.0
1,12,229.0
1,10,205.0
1,16,500.0
1,13,487.0
1,7,212.0
1,9,293.0
1,12,500.0
1,15,312.0
1,8,226.0
1,5,245.0
1,11,244.0
1,4,212.0
1,16,500.0
1,2,489.0
1,5,259.0
1,16,236.0
1,9,500.0
1,12,500.0
1,11,218.0
1,14,250.0
1,11,275.0
1,13,355.0
1,6,499.0
1,14,233.0
1,13,300.0
1,15,500.0
1,2,500.0
1,11,237.0
1,10,401.0
1,11,160.0
1,11,259.0
1,5,212.0
1,10,500.0
1,3,186.0
1,7,308.0
1,6,500.0
1,9,500.0
1,4,223.0
1,16,500.0
1,14,369.0
1,2,487.0
1,14,321.0
1,16,329.0
1,16,500.0
1,3,230.0
1,8,414.0
1,15,500.0
1,7,173.0
1,10,500.0
1,14,500.0
1,6,500.0
1,11,500.0
1,13,293.0
1,1,9.0
1,9,449.0
1,1,8.0
1,16,500.0
1,11,425.0
1,16,287.0
1,9,243.0
1,4,290.0
1,10,243.0
1,2,330.0
1,8,500.0
1,9,471.0
1,10,217.0
1,16,360.0
1,2,452.0
1,11,500.0
1,2,205.0
1,6,190.0
1,14,190.0
1,4,412.0
1,14,500.0
1,10,247.0
1,6,296.0
1,15,500.0
1,4,500.0
1,11,200.0
1,16,293.0
1,5,500.0
1,11,326.0
1,13,302.0
1,10,226.0
1,6,500.0
1,13,254.0
1,2,236.0
1,10,401.0
1,13,410.0
1,10,382.0
1,6,417.0
1,16,334.0
1,16,500.0
1,8,500.0
1,5,206.0
1,13,364.0
1,8,500.0
1,1,9.0
1,9,212.0
1,4,497.0
1,14,382.0
1,7,438.0
1,8,396.0
1,6,464.0
1,4,500.0
1,13,500.0
1,14,380.0
1,4,500.0
1,3,438.0
1,11,271.0
1,15,184.0
1,5,150.0
1,6,250.0
1,11,500.0
1,15,381.0
1,16,376.0
1,8,263.0
1,4,284.0
1,2,314.0
1,5,500.0
1,7,268.0
1,6,232.0
1,8,500.0
1,10,446.0
1,3,233.0
1,10,469.0
1,7,500.0
1,7,500.0
1,14,263.0
1,8,326.0
1,8,346.0
1,15,248.0
1,12,221.0
1,12,204.0
1,12,500.0
1,12,313.0
1,13,362.0
1,1,9.0
1,6,250.0
1,12,232.0
1,9,226.0
1,9,188.0
1,3,165.0
1,8,500.0
1,7,148.0
1,1,9.0
1,6,307.0
1,10,500.0
1,14,212.0
1,3,137.0
1,10,500.0
1,6,327.0
1,11,500.0
1,11,277.0
1,14,500.0
1,1,9.0
1,12,275.0
1,9,401.0
1,12,339.0
1,3,126.0
1,15,500.0
1,8,360.0
1,4,179.0
1,12,500.0
1,1,9.0
1,11,299.0
1,1,9.0
1,7,373.0
1,12,500.0
1,1,10.0
1,3,250.0
1,14,291.0
1,7,381.0
1,12,500.0
1,14,223.0
1,7,270.0
1,7,154.0
1,15,272.0
1,10,500.0
1,1,10.0
1,2,311.0
1,15,247.0
1,10,246.0
1,6,326.0
1,14,500.0
1,4,203.0
1,5,373.0
1,12,202.0
1,9,207.0
1,10,280.0
1,10,500.0
1,7,211.0
1,14,500.0
1,5,222.0
1,16,437.0
1,9,182.0
1,15,266.0
1,15,202.0
1,8,218.0
1,11,327.0
1,6,326.0
1,11,305.0
1,4,392.0
1,3,126.0
1,13,309.0
1,9,317.0
1,14,276.0
1,14,307.0
1,9,500.0
1,1,8.0
1,12,208.0
1,11,500.0
1,15,402.0
1,2,255.0
1,5,500.0
1,14,478.0
1,10,261.0
1,12,419.0
1,12,223.0
1,4,377.0
1,10,500.0
1,4,406.0
1,9,500.0
1,1,10.0
1,8,272.0
1,16,333.0
1,15,332.0
1,8,235.0
1,13,307.0
1,14,219.0
1,7,449.0
1,4,242.0
1,5,255.0
1,5,452.0
1,14,199.0
1,6,373.0
1,2,199.0
1,7,327.0
1,9,214.0
1,12,500.0
1,16,397.0
1,11,329.0
1,16,500.0
1,9,282.0
1,8,297.0
1,13,268.0
1,9,235.0
1,12,445.0
1,5,500.0
1,14,311.0
1,3,418.0
1,6,218.0
1,1,9.0
1,3,170.0
1,15,500.0
1,12,291.0
1,15,314.0
1,6,310.0
1,7,175.0
1,11,281.0
1,14,500.0
1,1,11.0
1,15,349.0
1,5,264.0
1,14,482.0
1,9,409.0
1,9,500.0
1,12,334.0
1,12,500.0
1,16,318.0
1,16,309.0
1,13,500.0
1,8,253.0
1,15,183.0
1,6,206.0
1,8,500.0
1,7,220.0
1,5,500.0
1,4,414.0
1,4,500.0
1,12,500.0
1,6,222.0
1,8,500.0
1,9,216.0
1,3,288.0
1,9,385.0
1,11,500.0
1,11,374.0
1,16,324.0
1,1,10.0
1,5,294.0
1,7,358.0
1,16,342.0
1,5,459.0
1,3,159.0
1,7,167.0
1,1,9.0
1,3,108.0
1,7,414.0
1,7,254.0
1,8,352.0
1,16,500.0
1,6,318.0
1,1,9.0
1,1,9.0
1,1,10.0
1,14,479.0
1,9,191.0
1,7,500.0
1,8,340.0
1,2,72.0
1,16,500.0
1,16,402.0
1,13,243.0
1,3,271.0
1,12,260.0
1,10,500.0
1,4,331.0
1,7,238.0
1,13,345.0
1,3,207.0
1,11,500.0
1,1,9.0
1,14,310.0
1,1,10.0
1,1,9.0
1,15,473.0
1,14,216.0
1,9,229.0
1,15,500.0
1,6,276.0
1,4,172.0
1,2,497.0
1,8,229.0
1,6,280.0
1,8,386.0
1,9,458.0
1,13,400.0
1,11,216.0
1,13,253.0
1,5,219.0
1,6,350.0
1,15,500.0
1,3,500.0
1,3,262.0
1,9,493.0
1,12,164.0
1,10,357.0
1,11,318.0
1,11,367.0
1,16,226.0
1,15,495.0
1,4,252.0
1,11,169.0
1,3,139.0
1,15,415.0
1,12,456.0
1,15,400.0
1,6,303.0
1,8,308.0
1,5,411.0
1,1,10.0
1,8,216.0
1,1,10.0
1,13,235.0
1,12,214.0
1,16,500.0
1,11,235.0
1,15,500.0
1,12,500.0
1,2,142.0
1,15,500.0
1,16,233.0
1,9,363.0
1,11,315.0
1,3,500.0
1,6,227.0
1,3,319.0
